, ,Number of genomes
1229,Cluster 1229,25
1230,Cluster 1230,10
1231,Cluster 1231,6
1232,Cluster 1232,269
1233,Cluster 1233,269
1234,Cluster 1234,269
1235,Cluster 1235,269
1236,Cluster 1236,268
1237,Cluster 1237,14
1238,Cluster 1238,24
1239,Cluster 1239,1
1240,Cluster 1240,1
1241,Cluster 1241,6
1242,Cluster 1242,269
1243,Cluster 1243,267
1244,Cluster 1244,269
1245,Cluster 1245,266
1246,Cluster 1246,269
1247,Cluster 1247,12
1248,Cluster 1248,14
1249,Cluster 1249,201
1250,Cluster 1250,268
1251,Cluster 1251,22
1252,Cluster 1252,1
1253,Cluster 1253,1
1254,Cluster 1254,269
1255,Cluster 1255,252
1256,Cluster 1256,7
1257,Cluster 1257,245
1258,Cluster 1258,9
1259,Cluster 1259,1
1260,Cluster 1260,111
1261,Cluster 1261,6
1262,Cluster 1262,269
1263,Cluster 1263,269
1264,Cluster 1264,44
1265,Cluster 1265,8
1266,Cluster 1266,7
1267,Cluster 1267,258
1268,Cluster 1268,1
1269,Cluster 1269,2
1270,Cluster 1270,269
1271,Cluster 1271,12
1272,Cluster 1272,12
1273,Cluster 1273,5
1274,Cluster 1274,262
1275,Cluster 1275,5
1276,Cluster 1276,7
1277,Cluster 1277,2
1278,Cluster 1278,3
1279,Cluster 1279,3
1280,Cluster 1280,1
1281,Cluster 1281,1
1282,Cluster 1282,1
1283,Cluster 1283,267
1284,Cluster 1284,76
1285,Cluster 1285,71
1286,Cluster 1286,5
1287,Cluster 1287,8
1288,Cluster 1288,37
1289,Cluster 1289,2
1290,Cluster 1290,251
1291,Cluster 1291,269
1292,Cluster 1292,3
1293,Cluster 1293,269
1294,Cluster 1294,269
1295,Cluster 1295,256
1296,Cluster 1296,4
1297,Cluster 1297,12
1298,Cluster 1298,268
1299,Cluster 1299,269
1300,Cluster 1300,1
1301,Cluster 1301,3
1302,Cluster 1302,35
1303,Cluster 1303,268
1304,Cluster 1304,11
1305,Cluster 1305,9
1306,Cluster 1306,9
1307,Cluster 1307,158
1308,Cluster 1308,268
1309,Cluster 1309,1
1310,Cluster 1310,269
1311,Cluster 1311,269
1312,Cluster 1312,269
1313,Cluster 1313,269
1314,Cluster 1314,269
1315,Cluster 1315,269
1316,Cluster 1316,1
1317,Cluster 1317,114
1318,Cluster 1318,29
1319,Cluster 1319,269
1320,Cluster 1320,1
1321,Cluster 1321,269
1322,Cluster 1322,34
1323,Cluster 1323,3
1324,Cluster 1324,8
1325,Cluster 1325,269
1326,Cluster 1326,269
1327,Cluster 1327,269
1328,Cluster 1328,269
1329,Cluster 1329,21
1330,Cluster 1330,1
1331,Cluster 1331,1
1332,Cluster 1332,2
1333,Cluster 1333,1
1334,Cluster 1334,2
1335,Cluster 1335,3
1336,Cluster 1336,1
1337,Cluster 1337,269
1338,Cluster 1338,266
1339,Cluster 1339,37
1340,Cluster 1340,3
1341,Cluster 1341,6
1342,Cluster 1342,9
1343,Cluster 1343,2
1344,Cluster 1344,6
1345,Cluster 1345,2
1346,Cluster 1346,269
1347,Cluster 1347,11
1348,Cluster 1348,1
1349,Cluster 1349,1
1350,Cluster 1350,269
1351,Cluster 1351,1
1352,Cluster 1352,1
1353,Cluster 1353,33
1354,Cluster 1354,7
1355,Cluster 1355,21
1356,Cluster 1356,269
1357,Cluster 1357,77
1358,Cluster 1358,63
1359,Cluster 1359,269
1360,Cluster 1360,2
1361,Cluster 1361,1
1362,Cluster 1362,2
1363,Cluster 1363,3
1364,Cluster 1364,269
1365,Cluster 1365,269
1366,Cluster 1366,269
1367,Cluster 1367,269
1368,Cluster 1368,156
1369,Cluster 1369,3
1370,Cluster 1370,6
1371,Cluster 1371,269
1372,Cluster 1372,1
1373,Cluster 1373,1
1374,Cluster 1374,268
1375,Cluster 1375,269
1376,Cluster 1376,269
1377,Cluster 1377,269
1378,Cluster 1378,222
1379,Cluster 1379,229
1380,Cluster 1380,269
1381,Cluster 1381,269
1382,Cluster 1382,2
1383,Cluster 1383,267
1384,Cluster 1384,54
1385,Cluster 1385,1
1386,Cluster 1386,75
1387,Cluster 1387,269
1388,Cluster 1388,191
1389,Cluster 1389,4
1390,Cluster 1390,264
1391,Cluster 1391,2
1392,Cluster 1392,269
1393,Cluster 1393,2
1394,Cluster 1394,1
1395,Cluster 1395,22
1396,Cluster 1396,269
1397,Cluster 1397,269
1398,Cluster 1398,263
1399,Cluster 1399,269
1400,Cluster 1400,269
1401,Cluster 1401,5
1402,Cluster 1402,2
1403,Cluster 1403,2
1404,Cluster 1404,8
1405,Cluster 1405,6
1406,Cluster 1406,1
1407,Cluster 1407,269
1408,Cluster 1408,268
1409,Cluster 1409,269
1410,Cluster 1410,269
1411,Cluster 1411,1
1412,Cluster 1412,227
1413,Cluster 1413,269
1414,Cluster 1414,269
1415,Cluster 1415,234
1416,Cluster 1416,16
1417,Cluster 1417,2
1418,Cluster 1418,269
1419,Cluster 1419,265
1420,Cluster 1420,20
1421,Cluster 1421,2
1422,Cluster 1422,1
1423,Cluster 1423,2
1424,Cluster 1424,269
1425,Cluster 1425,269
1426,Cluster 1426,269
1427,Cluster 1427,265
1428,Cluster 1428,269
1429,Cluster 1429,15
1430,Cluster 1430,8
1431,Cluster 1431,1
1432,Cluster 1432,3
1433,Cluster 1433,4
1434,Cluster 1434,269
1435,Cluster 1435,269
1436,Cluster 1436,269
1437,Cluster 1437,269
1438,Cluster 1438,8
1439,Cluster 1439,8
1440,Cluster 1440,10
1441,Cluster 1441,4
1442,Cluster 1442,1
1443,Cluster 1443,269
1444,Cluster 1444,1
1445,Cluster 1445,21
1446,Cluster 1446,269
1447,Cluster 1447,268
1448,Cluster 1448,190
1449,Cluster 1449,11
1450,Cluster 1450,4
1451,Cluster 1451,3
1452,Cluster 1452,3
1453,Cluster 1453,2
1454,Cluster 1454,269
1455,Cluster 1455,269
1456,Cluster 1456,6
1457,Cluster 1457,6
1458,Cluster 1458,1
1459,Cluster 1459,17
1460,Cluster 1460,269
1461,Cluster 1461,269
1462,Cluster 1462,269
1463,Cluster 1463,5
1464,Cluster 1464,1
1465,Cluster 1465,10
1466,Cluster 1466,269
1467,Cluster 1467,269
1468,Cluster 1468,269
1469,Cluster 1469,1
1470,Cluster 1470,2
1471,Cluster 1471,1
1472,Cluster 1472,2
1473,Cluster 1473,2
1474,Cluster 1474,269
1475,Cluster 1475,267
1476,Cluster 1476,30
1477,Cluster 1477,54
1478,Cluster 1478,6
1479,Cluster 1479,9
1480,Cluster 1480,5
1481,Cluster 1481,21
1482,Cluster 1482,1
1483,Cluster 1483,268
1484,Cluster 1484,1
1485,Cluster 1485,269
1486,Cluster 1486,9
1487,Cluster 1487,19
1488,Cluster 1488,31
1489,Cluster 1489,5
1490,Cluster 1490,14
1491,Cluster 1491,1
1492,Cluster 1492,5
1493,Cluster 1493,4
1494,Cluster 1494,1
1495,Cluster 1495,1
1496,Cluster 1496,269
1497,Cluster 1497,264
1498,Cluster 1498,269
1499,Cluster 1499,27
1500,Cluster 1500,11
1501,Cluster 1501,9
1502,Cluster 1502,1
1503,Cluster 1503,269
1504,Cluster 1504,51
1505,Cluster 1505,14
1506,Cluster 1506,22
1507,Cluster 1507,14
1508,Cluster 1508,20
1509,Cluster 1509,269
1510,Cluster 1510,269
1511,Cluster 1511,268
1512,Cluster 1512,4
1513,Cluster 1513,4
1514,Cluster 1514,166
1515,Cluster 1515,37
1516,Cluster 1516,1
1517,Cluster 1517,6
1518,Cluster 1518,2
1519,Cluster 1519,60
1520,Cluster 1520,269
1521,Cluster 1521,1
1522,Cluster 1522,1
1523,Cluster 1523,1
1524,Cluster 1524,58
1525,Cluster 1525,3
1526,Cluster 1526,265
1527,Cluster 1527,264
1528,Cluster 1528,262
1529,Cluster 1529,62
1530,Cluster 1530,19
1531,Cluster 1531,269
1532,Cluster 1532,30
1533,Cluster 1533,55
1534,Cluster 1534,2
1535,Cluster 1535,1
1536,Cluster 1536,269
1537,Cluster 1537,1
1538,Cluster 1538,269
1539,Cluster 1539,269
1540,Cluster 1540,269
1541,Cluster 1541,57
1542,Cluster 1542,268
1543,Cluster 1543,226
1544,Cluster 1544,9
1545,Cluster 1545,251
1546,Cluster 1546,1
1547,Cluster 1547,2
1548,Cluster 1548,5
1549,Cluster 1549,1
1550,Cluster 1550,120
1551,Cluster 1551,269
1552,Cluster 1552,269
1553,Cluster 1553,269
1554,Cluster 1554,63
1555,Cluster 1555,27
1556,Cluster 1556,5
1557,Cluster 1557,1
1558,Cluster 1558,269
1559,Cluster 1559,269
1560,Cluster 1560,269
1561,Cluster 1561,1
1562,Cluster 1562,1
1563,Cluster 1563,267
1564,Cluster 1564,269
1565,Cluster 1565,269
1566,Cluster 1566,269
1567,Cluster 1567,177
1568,Cluster 1568,1
1569,Cluster 1569,26
1570,Cluster 1570,1
1571,Cluster 1571,4
1572,Cluster 1572,118
1573,Cluster 1573,4
1574,Cluster 1574,269
1575,Cluster 1575,180
1576,Cluster 1576,269
1577,Cluster 1577,269
1578,Cluster 1578,4
1579,Cluster 1579,8
1580,Cluster 1580,73
1581,Cluster 1581,57
1582,Cluster 1582,4
1583,Cluster 1583,3
1584,Cluster 1584,4
1585,Cluster 1585,2
1586,Cluster 1586,1
1587,Cluster 1587,269
1588,Cluster 1588,269
1589,Cluster 1589,6
1590,Cluster 1590,45
1591,Cluster 1591,1
1592,Cluster 1592,1
1593,Cluster 1593,1
1594,Cluster 1594,1
1595,Cluster 1595,269
1596,Cluster 1596,111
1597,Cluster 1597,39
1598,Cluster 1598,2
1599,Cluster 1599,3
1600,Cluster 1600,1
1601,Cluster 1601,269
1602,Cluster 1602,269
1603,Cluster 1603,25
1604,Cluster 1604,1
1605,Cluster 1605,3
1606,Cluster 1606,17
1607,Cluster 1607,1
1608,Cluster 1608,269
1609,Cluster 1609,2
1610,Cluster 1610,14
1611,Cluster 1611,2
1612,Cluster 1612,3
1613,Cluster 1613,2
1614,Cluster 1614,14
1615,Cluster 1615,2
1616,Cluster 1616,269
1617,Cluster 1617,1
1618,Cluster 1618,269
1619,Cluster 1619,269
1620,Cluster 1620,252
1621,Cluster 1621,14
1622,Cluster 1622,6
1623,Cluster 1623,10
1624,Cluster 1624,176
1625,Cluster 1625,248
1626,Cluster 1626,2
1627,Cluster 1627,10
1628,Cluster 1628,1
1629,Cluster 1629,1
1630,Cluster 1630,269
1631,Cluster 1631,269
1632,Cluster 1632,269
1633,Cluster 1633,1
1634,Cluster 1634,3
1635,Cluster 1635,2
1636,Cluster 1636,10
1637,Cluster 1637,3
1638,Cluster 1638,268
1639,Cluster 1639,268
1640,Cluster 1640,269
1641,Cluster 1641,269
1642,Cluster 1642,264
1643,Cluster 1643,1
1644,Cluster 1644,2
1645,Cluster 1645,1
1646,Cluster 1646,247
1647,Cluster 1647,5
1648,Cluster 1648,111
1649,Cluster 1649,1
1650,Cluster 1650,1
1651,Cluster 1651,269
1652,Cluster 1652,249
1653,Cluster 1653,269
1654,Cluster 1654,268
1655,Cluster 1655,4
1656,Cluster 1656,4
1657,Cluster 1657,1
1658,Cluster 1658,34
1659,Cluster 1659,269
1660,Cluster 1660,269
1661,Cluster 1661,258
1662,Cluster 1662,4
1663,Cluster 1663,1
1664,Cluster 1664,1
1665,Cluster 1665,1
1666,Cluster 1666,1
1667,Cluster 1667,7
1668,Cluster 1668,269
1669,Cluster 1669,266
1670,Cluster 1670,269
1671,Cluster 1671,269
1672,Cluster 1672,269
1673,Cluster 1673,269
1674,Cluster 1674,269
1675,Cluster 1675,52
1676,Cluster 1676,11
1677,Cluster 1677,18
1678,Cluster 1678,269
1679,Cluster 1679,269
1680,Cluster 1680,268
1681,Cluster 1681,266
1682,Cluster 1682,5
1683,Cluster 1683,2
1684,Cluster 1684,44
1685,Cluster 1685,1
1686,Cluster 1686,269
1687,Cluster 1687,269
1688,Cluster 1688,189
1689,Cluster 1689,12
1690,Cluster 1690,4
1691,Cluster 1691,11
1692,Cluster 1692,269
1693,Cluster 1693,11
1694,Cluster 1694,3
1695,Cluster 1695,269
1696,Cluster 1696,176
1697,Cluster 1697,269
1698,Cluster 1698,267
1699,Cluster 1699,269
1700,Cluster 1700,113
1701,Cluster 1701,114
1702,Cluster 1702,1
1703,Cluster 1703,1
1704,Cluster 1704,9
1705,Cluster 1705,5
1706,Cluster 1706,269
1707,Cluster 1707,15
1708,Cluster 1708,1
1709,Cluster 1709,8
1710,Cluster 1710,269
1711,Cluster 1711,269
1712,Cluster 1712,8
1713,Cluster 1713,35
1714,Cluster 1714,16
1715,Cluster 1715,5
1716,Cluster 1716,2
1717,Cluster 1717,4
1718,Cluster 1718,2
1719,Cluster 1719,258
1720,Cluster 1720,1
1721,Cluster 1721,2
1722,Cluster 1722,1
1723,Cluster 1723,1
1724,Cluster 1724,1
1725,Cluster 1725,1
1726,Cluster 1726,1
1727,Cluster 1727,269
1728,Cluster 1728,266
1729,Cluster 1729,264
1730,Cluster 1730,268
1731,Cluster 1731,269
1732,Cluster 1732,21
1733,Cluster 1733,196
1734,Cluster 1734,9
1735,Cluster 1735,1
1736,Cluster 1736,3
1737,Cluster 1737,2
1738,Cluster 1738,1
1739,Cluster 1739,269
1740,Cluster 1740,112
1741,Cluster 1741,1
1742,Cluster 1742,38
1743,Cluster 1743,1
1744,Cluster 1744,9
1745,Cluster 1745,2
1746,Cluster 1746,2
1747,Cluster 1747,1
1748,Cluster 1748,3
1749,Cluster 1749,6
1750,Cluster 1750,269
1751,Cluster 1751,268
1752,Cluster 1752,37
1753,Cluster 1753,34
1754,Cluster 1754,1
1755,Cluster 1755,77
1756,Cluster 1756,10
1757,Cluster 1757,259
1758,Cluster 1758,3
1759,Cluster 1759,3
1760,Cluster 1760,1
1761,Cluster 1761,269
1762,Cluster 1762,269
1763,Cluster 1763,112
1764,Cluster 1764,17
1765,Cluster 1765,2
1766,Cluster 1766,2
1767,Cluster 1767,269
1768,Cluster 1768,3
1769,Cluster 1769,2
1770,Cluster 1770,269
1771,Cluster 1771,269
1772,Cluster 1772,269
1773,Cluster 1773,264
1774,Cluster 1774,119
1775,Cluster 1775,8
1776,Cluster 1776,269
1777,Cluster 1777,269
1778,Cluster 1778,268
1779,Cluster 1779,1
1780,Cluster 1780,15
1781,Cluster 1781,1
1782,Cluster 1782,268
1783,Cluster 1783,269
1784,Cluster 1784,119
1785,Cluster 1785,145
1786,Cluster 1786,5
1787,Cluster 1787,7
1788,Cluster 1788,1
1789,Cluster 1789,12
1790,Cluster 1790,1
1791,Cluster 1791,3
1792,Cluster 1792,264
1793,Cluster 1793,46
1794,Cluster 1794,269
1795,Cluster 1795,43
1796,Cluster 1796,112
1797,Cluster 1797,18
1798,Cluster 1798,6
1799,Cluster 1799,10
1800,Cluster 1800,2
1801,Cluster 1801,242
1802,Cluster 1802,1
1803,Cluster 1803,5
1804,Cluster 1804,9
1805,Cluster 1805,6
1806,Cluster 1806,2
1807,Cluster 1807,1
1808,Cluster 1808,269
1809,Cluster 1809,268
1810,Cluster 1810,269
1811,Cluster 1811,8
1812,Cluster 1812,21
1813,Cluster 1813,134
1814,Cluster 1814,1
1815,Cluster 1815,1
1816,Cluster 1816,1
1817,Cluster 1817,269
1818,Cluster 1818,269
1819,Cluster 1819,269
1820,Cluster 1820,269
1821,Cluster 1821,18
1822,Cluster 1822,27
1823,Cluster 1823,2
1824,Cluster 1824,10
1825,Cluster 1825,189
1826,Cluster 1826,5
1827,Cluster 1827,2
1828,Cluster 1828,2
1829,Cluster 1829,269
1830,Cluster 1830,269
1831,Cluster 1831,269
1832,Cluster 1832,14
1833,Cluster 1833,1
1834,Cluster 1834,269
1835,Cluster 1835,269
1836,Cluster 1836,265
1837,Cluster 1837,1
1838,Cluster 1838,269
1839,Cluster 1839,269
1840,Cluster 1840,268
1841,Cluster 1841,269
1842,Cluster 1842,1
1843,Cluster 1843,1
1844,Cluster 1844,13
1845,Cluster 1845,2
1846,Cluster 1846,1
1847,Cluster 1847,268
1848,Cluster 1848,2
1849,Cluster 1849,1
1850,Cluster 1850,269
1851,Cluster 1851,109
1852,Cluster 1852,1
1853,Cluster 1853,8
1854,Cluster 1854,3
1855,Cluster 1855,10
1856,Cluster 1856,269
1857,Cluster 1857,269
1858,Cluster 1858,22
1859,Cluster 1859,12
1860,Cluster 1860,2
1861,Cluster 1861,4
1862,Cluster 1862,4
1863,Cluster 1863,269
1864,Cluster 1864,118
1865,Cluster 1865,8
1866,Cluster 1866,10
1867,Cluster 1867,21
1868,Cluster 1868,5
1869,Cluster 1869,23
1870,Cluster 1870,2
1871,Cluster 1871,5
1872,Cluster 1872,1
1873,Cluster 1873,2
1874,Cluster 1874,267
1875,Cluster 1875,269
1876,Cluster 1876,14
1877,Cluster 1877,2
1878,Cluster 1878,14
1879,Cluster 1879,1
1880,Cluster 1880,1
1881,Cluster 1881,2
1882,Cluster 1882,10
1883,Cluster 1883,2
1884,Cluster 1884,269
1885,Cluster 1885,13
1886,Cluster 1886,1
1887,Cluster 1887,5
1888,Cluster 1888,1
1889,Cluster 1889,1
1890,Cluster 1890,13
1891,Cluster 1891,269
1892,Cluster 1892,239
1893,Cluster 1893,27
1894,Cluster 1894,1
1895,Cluster 1895,1
1896,Cluster 1896,1
1897,Cluster 1897,1
1898,Cluster 1898,3
1899,Cluster 1899,10
1900,Cluster 1900,1
1901,Cluster 1901,3
1902,Cluster 1902,4
1903,Cluster 1903,2
1904,Cluster 1904,235
1905,Cluster 1905,269
1906,Cluster 1906,269
1907,Cluster 1907,138
1908,Cluster 1908,269
1909,Cluster 1909,17
1910,Cluster 1910,1
1911,Cluster 1911,3
1912,Cluster 1912,12
1913,Cluster 1913,1
1914,Cluster 1914,1
1915,Cluster 1915,3
1916,Cluster 1916,13
1917,Cluster 1917,269
1918,Cluster 1918,269
1919,Cluster 1919,269
1920,Cluster 1920,46
1921,Cluster 1921,3
1922,Cluster 1922,3
1923,Cluster 1923,3
1924,Cluster 1924,269
1925,Cluster 1925,269
1926,Cluster 1926,269
1927,Cluster 1927,269
1928,Cluster 1928,269
1929,Cluster 1929,67
1930,Cluster 1930,1
1931,Cluster 1931,19
1932,Cluster 1932,28
1933,Cluster 1933,6
1934,Cluster 1934,1
1935,Cluster 1935,10
1936,Cluster 1936,7
1937,Cluster 1937,1
1938,Cluster 1938,5
1939,Cluster 1939,188
1940,Cluster 1940,268
1941,Cluster 1941,269
1942,Cluster 1942,268
1943,Cluster 1943,4
1944,Cluster 1944,5
1945,Cluster 1945,10
1946,Cluster 1946,1
1947,Cluster 1947,1
1948,Cluster 1948,195
1949,Cluster 1949,207
1950,Cluster 1950,269
1951,Cluster 1951,269
1952,Cluster 1952,1
1953,Cluster 1953,2
1954,Cluster 1954,157
1955,Cluster 1955,1
1956,Cluster 1956,222
1957,Cluster 1957,72
1958,Cluster 1958,5
1959,Cluster 1959,10
1960,Cluster 1960,266
1961,Cluster 1961,269
1962,Cluster 1962,1
1963,Cluster 1963,2
1964,Cluster 1964,6
1965,Cluster 1965,1
1966,Cluster 1966,2
1967,Cluster 1967,269
1968,Cluster 1968,269
1969,Cluster 1969,15
1970,Cluster 1970,1
1971,Cluster 1971,2
1972,Cluster 1972,2
1973,Cluster 1973,269
1974,Cluster 1974,7
1975,Cluster 1975,1
1976,Cluster 1976,1
1977,Cluster 1977,269
1978,Cluster 1978,269
1979,Cluster 1979,268
1980,Cluster 1980,269
1981,Cluster 1981,269
1982,Cluster 1982,26
1983,Cluster 1983,4
1984,Cluster 1984,9
1985,Cluster 1985,1
1986,Cluster 1986,269
1987,Cluster 1987,269
1988,Cluster 1988,269
1989,Cluster 1989,263
1990,Cluster 1990,8
1991,Cluster 1991,2
1992,Cluster 1992,2
1993,Cluster 1993,2
1994,Cluster 1994,269
1995,Cluster 1995,21
1996,Cluster 1996,225
1997,Cluster 1997,269
1998,Cluster 1998,267
1999,Cluster 1999,15
2000,Cluster 2000,116
2001,Cluster 2001,1
2002,Cluster 2002,14
2003,Cluster 2003,7
2004,Cluster 2004,8
2005,Cluster 2005,1
2006,Cluster 2006,1
2007,Cluster 2007,1
2008,Cluster 2008,119
2009,Cluster 2009,269
2010,Cluster 2010,269
2011,Cluster 2011,258
2012,Cluster 2012,269
2013,Cluster 2013,3
2014,Cluster 2014,11
2015,Cluster 2015,1
2016,Cluster 2016,7
2017,Cluster 2017,3
2018,Cluster 2018,9
2019,Cluster 2019,6
2020,Cluster 2020,2
2021,Cluster 2021,8
2022,Cluster 2022,1
2023,Cluster 2023,269
2024,Cluster 2024,1
2025,Cluster 2025,269
2026,Cluster 2026,3
2027,Cluster 2027,3
2028,Cluster 2028,1
2029,Cluster 2029,269
2030,Cluster 2030,269
2031,Cluster 2031,269
2032,Cluster 2032,1
2033,Cluster 2033,1
2034,Cluster 2034,2
2035,Cluster 2035,1
2036,Cluster 2036,8
2037,Cluster 2037,1
2038,Cluster 2038,269
2039,Cluster 2039,260
2040,Cluster 2040,269
2041,Cluster 2041,1
2042,Cluster 2042,7
2043,Cluster 2043,9
2044,Cluster 2044,1
2045,Cluster 2045,2
2046,Cluster 2046,15
2047,Cluster 2047,10
2048,Cluster 2048,1
2049,Cluster 2049,241
2050,Cluster 2050,1
2051,Cluster 2051,1
2052,Cluster 2052,1
2053,Cluster 2053,269
2054,Cluster 2054,269
2055,Cluster 2055,269
2056,Cluster 2056,269
2057,Cluster 2057,2
2058,Cluster 2058,268
2059,Cluster 2059,268
2060,Cluster 2060,269
2061,Cluster 2061,1
2062,Cluster 2062,269
2063,Cluster 2063,3
2064,Cluster 2064,1
2065,Cluster 2065,1
2066,Cluster 2066,1
2067,Cluster 2067,269
2068,Cluster 2068,26
2069,Cluster 2069,109
2070,Cluster 2070,1
2071,Cluster 2071,3
2072,Cluster 2072,8
2073,Cluster 2073,2
2074,Cluster 2074,250
2075,Cluster 2075,269
2076,Cluster 2076,62
2077,Cluster 2077,65
2078,Cluster 2078,2
2079,Cluster 2079,268
2080,Cluster 2080,269
2081,Cluster 2081,169
2082,Cluster 2082,48
2083,Cluster 2083,1
2084,Cluster 2084,1
2085,Cluster 2085,269
2086,Cluster 2086,269
2087,Cluster 2087,269
2088,Cluster 2088,269
2089,Cluster 2089,28
2090,Cluster 2090,4
2091,Cluster 2091,8
2092,Cluster 2092,1
2093,Cluster 2093,21
2094,Cluster 2094,249
2095,Cluster 2095,269
2096,Cluster 2096,7
2097,Cluster 2097,1
2098,Cluster 2098,1
2099,Cluster 2099,2
2100,Cluster 2100,1
2101,Cluster 2101,1
2102,Cluster 2102,24
2103,Cluster 2103,2
2104,Cluster 2104,269
2105,Cluster 2105,268
2106,Cluster 2106,10
2107,Cluster 2107,105
2108,Cluster 2108,1
2109,Cluster 2109,24
2110,Cluster 2110,1
2111,Cluster 2111,12
2112,Cluster 2112,10
2113,Cluster 2113,269
2114,Cluster 2114,264
2115,Cluster 2115,269
2116,Cluster 2116,269
2117,Cluster 2117,269
2118,Cluster 2118,269
2119,Cluster 2119,11
2120,Cluster 2120,31
2121,Cluster 2121,2
2122,Cluster 2122,9
2123,Cluster 2123,1
2124,Cluster 2124,2
2125,Cluster 2125,5
2126,Cluster 2126,1
2127,Cluster 2127,1
2128,Cluster 2128,1
2129,Cluster 2129,2
2130,Cluster 2130,2
2131,Cluster 2131,252
2132,Cluster 2132,269
2133,Cluster 2133,269
2134,Cluster 2134,269
2135,Cluster 2135,269
2136,Cluster 2136,22
2137,Cluster 2137,2
2138,Cluster 2138,1
2139,Cluster 2139,1
2140,Cluster 2140,1
2141,Cluster 2141,252
2142,Cluster 2142,3
2143,Cluster 2143,9
2144,Cluster 2144,1
2145,Cluster 2145,8
2146,Cluster 2146,2
2147,Cluster 2147,13
2148,Cluster 2148,1
2149,Cluster 2149,1
2150,Cluster 2150,269
2151,Cluster 2151,269
2152,Cluster 2152,269
2153,Cluster 2153,266
2154,Cluster 2154,4
2155,Cluster 2155,1
2156,Cluster 2156,269
2157,Cluster 2157,1
2158,Cluster 2158,269
2159,Cluster 2159,258
2160,Cluster 2160,1
2161,Cluster 2161,2
2162,Cluster 2162,1
2163,Cluster 2163,3
2164,Cluster 2164,267
2165,Cluster 2165,269
2166,Cluster 2166,269
2167,Cluster 2167,269
2168,Cluster 2168,269
2169,Cluster 2169,116
2170,Cluster 2170,1
2171,Cluster 2171,2
2172,Cluster 2172,1
2173,Cluster 2173,263
2174,Cluster 2174,269
2175,Cluster 2175,269
2176,Cluster 2176,269
2177,Cluster 2177,269
2178,Cluster 2178,3
2179,Cluster 2179,1
2180,Cluster 2180,1
2181,Cluster 2181,1
2182,Cluster 2182,1
2183,Cluster 2183,2
2184,Cluster 2184,1
2185,Cluster 2185,1
2186,Cluster 2186,269
2187,Cluster 2187,38
2188,Cluster 2188,10
2189,Cluster 2189,2
2190,Cluster 2190,10
2191,Cluster 2191,40
2192,Cluster 2192,2
2193,Cluster 2193,2
2194,Cluster 2194,4
2195,Cluster 2195,268
2196,Cluster 2196,269
2197,Cluster 2197,105
2198,Cluster 2198,7
2199,Cluster 2199,31
2200,Cluster 2200,5
2201,Cluster 2201,13
2202,Cluster 2202,1
2203,Cluster 2203,269
2204,Cluster 2204,269
2205,Cluster 2205,3
2206,Cluster 2206,1
2207,Cluster 2207,10
2208,Cluster 2208,1
2209,Cluster 2209,269
2210,Cluster 2210,269
2211,Cluster 2211,269
2212,Cluster 2212,269
2213,Cluster 2213,243
2214,Cluster 2214,268
2215,Cluster 2215,1
2216,Cluster 2216,30
2217,Cluster 2217,1
2218,Cluster 2218,1
2219,Cluster 2219,10
2220,Cluster 2220,36
2221,Cluster 2221,12
2222,Cluster 2222,11
2223,Cluster 2223,269
2224,Cluster 2224,7
2225,Cluster 2225,2
2226,Cluster 2226,260
2227,Cluster 2227,2
2228,Cluster 2228,1
2229,Cluster 2229,269
2230,Cluster 2230,268
2231,Cluster 2231,269
2232,Cluster 2232,269
2233,Cluster 2233,269
2234,Cluster 2234,6
2235,Cluster 2235,1
2236,Cluster 2236,1
2237,Cluster 2237,1
2238,Cluster 2238,49
2239,Cluster 2239,1
2240,Cluster 2240,5
2241,Cluster 2241,1
2242,Cluster 2242,3
2243,Cluster 2243,233
2244,Cluster 2244,268
2245,Cluster 2245,269
2246,Cluster 2246,2
2247,Cluster 2247,2
2248,Cluster 2248,1
2249,Cluster 2249,1
2250,Cluster 2250,36
2251,Cluster 2251,2
2252,Cluster 2252,16
2253,Cluster 2253,1
2254,Cluster 2254,10
2255,Cluster 2255,1
2256,Cluster 2256,22
2257,Cluster 2257,4
2258,Cluster 2258,179
2259,Cluster 2259,269
2260,Cluster 2260,269
2261,Cluster 2261,108
2262,Cluster 2262,88
2263,Cluster 2263,15
2264,Cluster 2264,18
2265,Cluster 2265,1
2266,Cluster 2266,1
2267,Cluster 2267,2
2268,Cluster 2268,1
2269,Cluster 2269,4
2270,Cluster 2270,9
2271,Cluster 2271,6
2272,Cluster 2272,1
2273,Cluster 2273,2
2274,Cluster 2274,269
2275,Cluster 2275,16
2276,Cluster 2276,1
2277,Cluster 2277,2
2278,Cluster 2278,2
2279,Cluster 2279,1
2280,Cluster 2280,269
2281,Cluster 2281,1
2282,Cluster 2282,20
2283,Cluster 2283,2
2284,Cluster 2284,238
2285,Cluster 2285,69
2286,Cluster 2286,238
2287,Cluster 2287,189
2288,Cluster 2288,4
2289,Cluster 2289,3
2290,Cluster 2290,1
2291,Cluster 2291,269
2292,Cluster 2292,269
2293,Cluster 2293,269
2294,Cluster 2294,269
2295,Cluster 2295,269
2296,Cluster 2296,269
2297,Cluster 2297,269
2298,Cluster 2298,269
2299,Cluster 2299,12
2300,Cluster 2300,4
2301,Cluster 2301,12
2302,Cluster 2302,5
2303,Cluster 2303,269
2304,Cluster 2304,2
