, ,Number of genomes
736,Cluster 736,30
737,Cluster 737,2
738,Cluster 738,10
739,Cluster 739,7
740,Cluster 740,1
741,Cluster 741,2
742,Cluster 742,3
743,Cluster 743,7
744,Cluster 744,1
745,Cluster 745,10
746,Cluster 746,1
747,Cluster 747,1
748,Cluster 748,8
749,Cluster 749,100
750,Cluster 750,1301
751,Cluster 751,4
752,Cluster 752,156
753,Cluster 753,20
754,Cluster 754,83
755,Cluster 755,13
756,Cluster 756,1
757,Cluster 757,4
758,Cluster 758,74
759,Cluster 759,2
760,Cluster 760,136
761,Cluster 761,2
762,Cluster 762,1318
763,Cluster 763,1
764,Cluster 764,49
765,Cluster 765,27
766,Cluster 766,9
767,Cluster 767,1
768,Cluster 768,4
769,Cluster 769,1
770,Cluster 770,1
771,Cluster 771,18
772,Cluster 772,2
773,Cluster 773,4
774,Cluster 774,95
775,Cluster 775,4
776,Cluster 776,1
777,Cluster 777,2
778,Cluster 778,2
779,Cluster 779,7
780,Cluster 780,1
781,Cluster 781,1325
782,Cluster 782,39
783,Cluster 783,4
784,Cluster 784,15
785,Cluster 785,1
786,Cluster 786,8
787,Cluster 787,1327
788,Cluster 788,1
789,Cluster 789,1327
790,Cluster 790,47
791,Cluster 791,1327
792,Cluster 792,2
793,Cluster 793,1325
794,Cluster 794,1
795,Cluster 795,1326
796,Cluster 796,480
797,Cluster 797,3
798,Cluster 798,5
799,Cluster 799,2
800,Cluster 800,5
801,Cluster 801,3
802,Cluster 802,2
803,Cluster 803,1
804,Cluster 804,1
805,Cluster 805,186
806,Cluster 806,1
807,Cluster 807,3
808,Cluster 808,1
809,Cluster 809,1307
810,Cluster 810,10
811,Cluster 811,1310
812,Cluster 812,113
813,Cluster 813,1326
814,Cluster 814,1
815,Cluster 815,7
816,Cluster 816,4
817,Cluster 817,3
818,Cluster 818,6
819,Cluster 819,1
820,Cluster 820,19
821,Cluster 821,23
822,Cluster 822,9
823,Cluster 823,1298
824,Cluster 824,2
825,Cluster 825,4
826,Cluster 826,119
827,Cluster 827,1
828,Cluster 828,1315
829,Cluster 829,21
830,Cluster 830,1318
831,Cluster 831,2
832,Cluster 832,1327
833,Cluster 833,1324
834,Cluster 834,1
835,Cluster 835,23
836,Cluster 836,2
837,Cluster 837,4
838,Cluster 838,9
839,Cluster 839,1
840,Cluster 840,1
841,Cluster 841,2
842,Cluster 842,10
843,Cluster 843,9
844,Cluster 844,56
845,Cluster 845,147
846,Cluster 846,1269
847,Cluster 847,2
848,Cluster 848,2
849,Cluster 849,1
850,Cluster 850,1
851,Cluster 851,16
852,Cluster 852,26
853,Cluster 853,1326
854,Cluster 854,2
855,Cluster 855,1
856,Cluster 856,2
857,Cluster 857,106
858,Cluster 858,1
859,Cluster 859,227
860,Cluster 860,1
861,Cluster 861,134
862,Cluster 862,1
863,Cluster 863,1
864,Cluster 864,20
865,Cluster 865,86
866,Cluster 866,2
867,Cluster 867,3
868,Cluster 868,1
869,Cluster 869,1325
870,Cluster 870,1
871,Cluster 871,20
872,Cluster 872,1323
873,Cluster 873,1
874,Cluster 874,16
875,Cluster 875,18
876,Cluster 876,1323
877,Cluster 877,428
878,Cluster 878,11
879,Cluster 879,6
880,Cluster 880,1
881,Cluster 881,1
882,Cluster 882,3
883,Cluster 883,1
884,Cluster 884,2
885,Cluster 885,10
886,Cluster 886,1325
887,Cluster 887,1326
888,Cluster 888,1
889,Cluster 889,485
890,Cluster 890,6
891,Cluster 891,3
892,Cluster 892,1
893,Cluster 893,20
894,Cluster 894,10
895,Cluster 895,4
896,Cluster 896,4
897,Cluster 897,4
898,Cluster 898,142
899,Cluster 899,2
900,Cluster 900,1108
901,Cluster 901,4
902,Cluster 902,16
903,Cluster 903,6
904,Cluster 904,164
905,Cluster 905,30
906,Cluster 906,1
907,Cluster 907,14
908,Cluster 908,1325
909,Cluster 909,526
910,Cluster 910,3
911,Cluster 911,1
912,Cluster 912,44
913,Cluster 913,4
914,Cluster 914,1
915,Cluster 915,7
916,Cluster 916,2
917,Cluster 917,1326
918,Cluster 918,1324
919,Cluster 919,2
920,Cluster 920,37
921,Cluster 921,9
922,Cluster 922,1
923,Cluster 923,114
924,Cluster 924,3
925,Cluster 925,16
926,Cluster 926,2
927,Cluster 927,1
928,Cluster 928,644
929,Cluster 929,1
930,Cluster 930,38
931,Cluster 931,2
932,Cluster 932,1
933,Cluster 933,2
934,Cluster 934,4
935,Cluster 935,9
936,Cluster 936,1
937,Cluster 937,1319
938,Cluster 938,2
939,Cluster 939,4
940,Cluster 940,1326
941,Cluster 941,1
942,Cluster 942,2
943,Cluster 943,1319
944,Cluster 944,99
945,Cluster 945,18
946,Cluster 946,5
947,Cluster 947,1
948,Cluster 948,1
949,Cluster 949,2
950,Cluster 950,1
951,Cluster 951,1
952,Cluster 952,1325
953,Cluster 953,8
954,Cluster 954,1
955,Cluster 955,3
956,Cluster 956,54
957,Cluster 957,1326
958,Cluster 958,1325
959,Cluster 959,1
960,Cluster 960,197
961,Cluster 961,1319
962,Cluster 962,18
963,Cluster 963,2
964,Cluster 964,3
965,Cluster 965,1322
