, ,Number of genomes
833,Cluster 833,1931
834,Cluster 834,23
835,Cluster 835,1970
836,Cluster 836,1
837,Cluster 837,7
838,Cluster 838,1
839,Cluster 839,10
840,Cluster 840,2
841,Cluster 841,1
842,Cluster 842,3
843,Cluster 843,85
844,Cluster 844,2
845,Cluster 845,3
846,Cluster 846,21
847,Cluster 847,3
848,Cluster 848,6
849,Cluster 849,1
850,Cluster 850,10
851,Cluster 851,4
852,Cluster 852,1
853,Cluster 853,1
854,Cluster 854,1
855,Cluster 855,6
856,Cluster 856,26
857,Cluster 857,5
858,Cluster 858,1
859,Cluster 859,1
860,Cluster 860,15
861,Cluster 861,2
862,Cluster 862,1
863,Cluster 863,1
864,Cluster 864,20
865,Cluster 865,33
866,Cluster 866,6
867,Cluster 867,1
868,Cluster 868,3
869,Cluster 869,1
870,Cluster 870,486
871,Cluster 871,1918
872,Cluster 872,1
873,Cluster 873,27
874,Cluster 874,1
875,Cluster 875,1
876,Cluster 876,1
877,Cluster 877,6
878,Cluster 878,26
879,Cluster 879,2
880,Cluster 880,4
881,Cluster 881,2
882,Cluster 882,1
883,Cluster 883,1967
884,Cluster 884,121
885,Cluster 885,15
886,Cluster 886,3
887,Cluster 887,1960
888,Cluster 888,9
889,Cluster 889,7
890,Cluster 890,1
891,Cluster 891,1948
892,Cluster 892,2
893,Cluster 893,1
894,Cluster 894,1
895,Cluster 895,1
896,Cluster 896,8
897,Cluster 897,2
898,Cluster 898,1
899,Cluster 899,1
900,Cluster 900,1
901,Cluster 901,4
902,Cluster 902,39
903,Cluster 903,2
904,Cluster 904,1
905,Cluster 905,1
906,Cluster 906,4
907,Cluster 907,29
908,Cluster 908,3
909,Cluster 909,8
910,Cluster 910,1884
911,Cluster 911,1
912,Cluster 912,2
913,Cluster 913,17
914,Cluster 914,4
915,Cluster 915,2
916,Cluster 916,1
917,Cluster 917,1967
918,Cluster 918,15
919,Cluster 919,4
920,Cluster 920,1
921,Cluster 921,3
922,Cluster 922,7
923,Cluster 923,1
924,Cluster 924,65
925,Cluster 925,40
926,Cluster 926,163
927,Cluster 927,5
928,Cluster 928,272
929,Cluster 929,1
930,Cluster 930,13
931,Cluster 931,1
932,Cluster 932,1959
933,Cluster 933,1
934,Cluster 934,4
935,Cluster 935,1
936,Cluster 936,1
937,Cluster 937,1
938,Cluster 938,2
939,Cluster 939,1396
940,Cluster 940,2
941,Cluster 941,21
942,Cluster 942,1
943,Cluster 943,4
944,Cluster 944,28
945,Cluster 945,12
946,Cluster 946,3
947,Cluster 947,19
948,Cluster 948,1
949,Cluster 949,345
950,Cluster 950,1
951,Cluster 951,1
952,Cluster 952,41
953,Cluster 953,4
954,Cluster 954,1961
955,Cluster 955,2
956,Cluster 956,2
957,Cluster 957,1
958,Cluster 958,1
959,Cluster 959,102
960,Cluster 960,24
961,Cluster 961,1956
962,Cluster 962,3
963,Cluster 963,1
964,Cluster 964,1
965,Cluster 965,358
966,Cluster 966,1
967,Cluster 967,1
968,Cluster 968,150
969,Cluster 969,430
970,Cluster 970,5
971,Cluster 971,202
972,Cluster 972,10
973,Cluster 973,6
974,Cluster 974,6
975,Cluster 975,1343
976,Cluster 976,1
977,Cluster 977,1
978,Cluster 978,3
979,Cluster 979,3
980,Cluster 980,1
981,Cluster 981,2
982,Cluster 982,402
983,Cluster 983,1
984,Cluster 984,3
985,Cluster 985,9
986,Cluster 986,4
987,Cluster 987,2
988,Cluster 988,1
989,Cluster 989,1
990,Cluster 990,1796
991,Cluster 991,1
992,Cluster 992,1968
993,Cluster 993,15
994,Cluster 994,26
995,Cluster 995,1
996,Cluster 996,11
997,Cluster 997,4
998,Cluster 998,2
999,Cluster 999,143
1000,Cluster 1000,343
1001,Cluster 1001,200
1002,Cluster 1002,2
1003,Cluster 1003,6
1004,Cluster 1004,6
1005,Cluster 1005,3
1006,Cluster 1006,73
1007,Cluster 1007,16
