, ,Number of genomes,gene_class
35691,Cluster 35691,1,unique
35692,Cluster 35692,37,unique
35693,Cluster 35693,3,unique
35694,Cluster 35694,18,unique
35695,Cluster 35695,5,unique
35696,Cluster 35696,1,unique
35697,Cluster 35697,3,unique
35698,Cluster 35698,1,unique
35699,Cluster 35699,4,unique
35700,Cluster 35700,1,unique
35701,Cluster 35701,2,unique
35702,Cluster 35702,2,unique
35703,Cluster 35703,3,unique
35704,Cluster 35704,1,unique
35705,Cluster 35705,1,unique
35706,Cluster 35706,2,unique
35707,Cluster 35707,9,unique
35708,Cluster 35708,1,unique
35709,Cluster 35709,1,unique
35710,Cluster 35710,1970,core
35711,Cluster 35711,1970,core
35712,Cluster 35712,378,accessory
35713,Cluster 35713,590,accessory
35714,Cluster 35714,1824,accessory
35715,Cluster 35715,1967,core
35716,Cluster 35716,311,accessory
35717,Cluster 35717,1939,accessory
35718,Cluster 35718,18,unique
35719,Cluster 35719,6,unique
35720,Cluster 35720,630,accessory
35721,Cluster 35721,1,unique
35722,Cluster 35722,1,unique
35723,Cluster 35723,2,unique
35724,Cluster 35724,3,unique
35725,Cluster 35725,3,unique
35726,Cluster 35726,2,unique
35727,Cluster 35727,3,unique
35728,Cluster 35728,6,unique
35729,Cluster 35729,106,unique
35730,Cluster 35730,18,unique
35731,Cluster 35731,197,accessory
35732,Cluster 35732,94,unique
35733,Cluster 35733,239,accessory
35734,Cluster 35734,1,unique
35735,Cluster 35735,1,unique
35736,Cluster 35736,65,unique
35737,Cluster 35737,405,accessory
35738,Cluster 35738,98,unique
35739,Cluster 35739,1899,accessory
35740,Cluster 35740,57,unique
35741,Cluster 35741,10,unique
35742,Cluster 35742,122,unique
35743,Cluster 35743,38,unique
35744,Cluster 35744,1678,accessory
35745,Cluster 35745,36,unique
35746,Cluster 35746,2,unique
35747,Cluster 35747,8,unique
35748,Cluster 35748,13,unique
35749,Cluster 35749,72,unique
35750,Cluster 35750,1,unique
35751,Cluster 35751,2,unique
35752,Cluster 35752,18,unique
35753,Cluster 35753,19,unique
35754,Cluster 35754,27,unique
35755,Cluster 35755,29,unique
35756,Cluster 35756,13,unique
35757,Cluster 35757,36,unique
35758,Cluster 35758,17,unique
35759,Cluster 35759,1,unique
35760,Cluster 35760,3,unique
35761,Cluster 35761,1,unique
35762,Cluster 35762,1,unique
35763,Cluster 35763,376,accessory
35764,Cluster 35764,2,unique
35765,Cluster 35765,1,unique
35766,Cluster 35766,2,unique
35767,Cluster 35767,2,unique
35768,Cluster 35768,2,unique
35769,Cluster 35769,15,unique
35770,Cluster 35770,9,unique
35771,Cluster 35771,2,unique
35772,Cluster 35772,1,unique
35773,Cluster 35773,1,unique
35774,Cluster 35774,24,unique
35775,Cluster 35775,25,unique
35776,Cluster 35776,2,unique
35777,Cluster 35777,33,unique
35778,Cluster 35778,14,unique
35779,Cluster 35779,2,unique
35780,Cluster 35780,1,unique
35781,Cluster 35781,1,unique
35782,Cluster 35782,7,unique
35783,Cluster 35783,2,unique
35784,Cluster 35784,1,unique
35785,Cluster 35785,5,unique
35786,Cluster 35786,1,unique
35787,Cluster 35787,79,unique
35788,Cluster 35788,1,unique
35789,Cluster 35789,2,unique
35790,Cluster 35790,1,unique
35791,Cluster 35791,1,unique
35792,Cluster 35792,1,unique
35793,Cluster 35793,25,unique
35794,Cluster 35794,1,unique
35795,Cluster 35795,31,unique
35796,Cluster 35796,1,unique
35797,Cluster 35797,1,unique
35798,Cluster 35798,1,unique
35799,Cluster 35799,1,unique
35800,Cluster 35800,2,unique
35801,Cluster 35801,1,unique
35802,Cluster 35802,5,unique
35803,Cluster 35803,1,unique
35804,Cluster 35804,1,unique
35805,Cluster 35805,332,accessory
35806,Cluster 35806,1,unique
35807,Cluster 35807,7,unique
35808,Cluster 35808,1,unique
35809,Cluster 35809,5,unique
35810,Cluster 35810,1,unique
35811,Cluster 35811,1,unique
35812,Cluster 35812,1,unique
35813,Cluster 35813,1,unique
35814,Cluster 35814,1,unique
35815,Cluster 35815,1,unique
35816,Cluster 35816,5,unique
35817,Cluster 35817,1,unique
35818,Cluster 35818,4,unique
35819,Cluster 35819,1,unique
35820,Cluster 35820,3,unique
35821,Cluster 35821,3,unique
35822,Cluster 35822,1,unique
35823,Cluster 35823,1,unique
35824,Cluster 35824,1,unique
35825,Cluster 35825,1,unique
35826,Cluster 35826,1,unique
35827,Cluster 35827,1,unique
35828,Cluster 35828,3,unique
35829,Cluster 35829,3,unique
35830,Cluster 35830,50,unique
35831,Cluster 35831,1,unique
35832,Cluster 35832,5,unique
35833,Cluster 35833,1,unique
35834,Cluster 35834,6,unique
35835,Cluster 35835,1,unique
35836,Cluster 35836,2,unique
35837,Cluster 35837,9,unique
35838,Cluster 35838,1,unique
35839,Cluster 35839,1,unique
35840,Cluster 35840,2,unique
35841,Cluster 35841,2,unique
35842,Cluster 35842,1,unique
35843,Cluster 35843,10,unique
35844,Cluster 35844,1,unique
35845,Cluster 35845,1,unique
35846,Cluster 35846,1,unique
35847,Cluster 35847,1,unique
35848,Cluster 35848,1,unique
35849,Cluster 35849,1,unique
35850,Cluster 35850,5,unique
35851,Cluster 35851,1,unique
35852,Cluster 35852,2,unique
35853,Cluster 35853,2,unique
35854,Cluster 35854,2,unique
35855,Cluster 35855,2,unique
35856,Cluster 35856,18,unique
35857,Cluster 35857,2,unique
35858,Cluster 35858,12,unique
35859,Cluster 35859,1,unique
35860,Cluster 35860,1,unique
35861,Cluster 35861,8,unique
35862,Cluster 35862,57,unique
35863,Cluster 35863,2,unique
35864,Cluster 35864,2,unique
35865,Cluster 35865,1,unique
35866,Cluster 35866,1,unique
35867,Cluster 35867,1,unique
35868,Cluster 35868,2,unique
35869,Cluster 35869,1,unique
35870,Cluster 35870,1,unique
35871,Cluster 35871,1963,core
35872,Cluster 35872,1,unique
35873,Cluster 35873,1,unique
35874,Cluster 35874,1,unique
35875,Cluster 35875,1,unique
35876,Cluster 35876,1,unique
35877,Cluster 35877,1,unique
35878,Cluster 35878,1,unique
35879,Cluster 35879,1,unique
35880,Cluster 35880,1,unique
35881,Cluster 35881,1,unique
35882,Cluster 35882,1,unique
35883,Cluster 35883,5,unique
35884,Cluster 35884,8,unique
35885,Cluster 35885,4,unique
35886,Cluster 35886,2,unique
35887,Cluster 35887,2,unique
35888,Cluster 35888,5,unique
35889,Cluster 35889,1,unique
35890,Cluster 35890,4,unique
35891,Cluster 35891,2,unique
35892,Cluster 35892,6,unique
35893,Cluster 35893,79,unique
35894,Cluster 35894,1961,core
35895,Cluster 35895,1,unique
35896,Cluster 35896,1,unique
35897,Cluster 35897,3,unique
35898,Cluster 35898,1,unique
35899,Cluster 35899,2,unique
35900,Cluster 35900,1,unique
35901,Cluster 35901,3,unique
35902,Cluster 35902,1,unique
35903,Cluster 35903,1,unique
35904,Cluster 35904,1,unique
35905,Cluster 35905,1959,core
35906,Cluster 35906,1970,core
35907,Cluster 35907,14,unique
35908,Cluster 35908,339,accessory
35909,Cluster 35909,1970,core
35910,Cluster 35910,1174,accessory
35911,Cluster 35911,465,accessory
35912,Cluster 35912,3,unique
35913,Cluster 35913,1,unique
35914,Cluster 35914,2,unique
35915,Cluster 35915,2,unique
35916,Cluster 35916,2,unique
35917,Cluster 35917,3,unique
35918,Cluster 35918,3,unique
35919,Cluster 35919,2,unique
35920,Cluster 35920,2,unique
35921,Cluster 35921,1,unique
35922,Cluster 35922,1,unique
35923,Cluster 35923,9,unique
35924,Cluster 35924,106,unique
35925,Cluster 35925,9,unique
35926,Cluster 35926,1,unique
35927,Cluster 35927,5,unique
35928,Cluster 35928,59,unique
35929,Cluster 35929,69,unique
35930,Cluster 35930,13,unique
35931,Cluster 35931,76,unique
35932,Cluster 35932,5,unique
35933,Cluster 35933,3,unique
35934,Cluster 35934,4,unique
35935,Cluster 35935,186,accessory
35936,Cluster 35936,99,unique
35937,Cluster 35937,97,unique
35938,Cluster 35938,3,unique
35939,Cluster 35939,8,unique
35940,Cluster 35940,164,unique
35941,Cluster 35941,1,unique
35942,Cluster 35942,21,unique
35943,Cluster 35943,1966,core
35944,Cluster 35944,9,unique
35945,Cluster 35945,4,unique
35946,Cluster 35946,2,unique
35947,Cluster 35947,4,unique
35948,Cluster 35948,1,unique
35949,Cluster 35949,5,unique
35950,Cluster 35950,2,unique
35951,Cluster 35951,11,unique
35952,Cluster 35952,53,unique
35953,Cluster 35953,2,unique
35954,Cluster 35954,7,unique
35955,Cluster 35955,21,unique
35956,Cluster 35956,4,unique
35957,Cluster 35957,2,unique
35958,Cluster 35958,4,unique
35959,Cluster 35959,16,unique
35960,Cluster 35960,1,unique
35961,Cluster 35961,9,unique
35962,Cluster 35962,4,unique
35963,Cluster 35963,1,unique
35964,Cluster 35964,7,unique
35965,Cluster 35965,17,unique
35966,Cluster 35966,7,unique
35967,Cluster 35967,1,unique
35968,Cluster 35968,2,unique
35969,Cluster 35969,1,unique
35970,Cluster 35970,1,unique
35971,Cluster 35971,1,unique
35972,Cluster 35972,1,unique
35973,Cluster 35973,4,unique
35974,Cluster 35974,40,unique
35975,Cluster 35975,2,unique
35976,Cluster 35976,9,unique
35977,Cluster 35977,2,unique
35978,Cluster 35978,37,unique
35979,Cluster 35979,4,unique
35980,Cluster 35980,2,unique
35981,Cluster 35981,2,unique
35982,Cluster 35982,4,unique
35983,Cluster 35983,3,unique
35984,Cluster 35984,1,unique
35985,Cluster 35985,1,unique
35986,Cluster 35986,11,unique
35987,Cluster 35987,4,unique
35988,Cluster 35988,5,unique
35989,Cluster 35989,4,unique
35990,Cluster 35990,5,unique
35991,Cluster 35991,2,unique
35992,Cluster 35992,1,unique
35993,Cluster 35993,8,unique
35994,Cluster 35994,25,unique
35995,Cluster 35995,4,unique
35996,Cluster 35996,16,unique
35997,Cluster 35997,3,unique
35998,Cluster 35998,2,unique
35999,Cluster 35999,7,unique
36000,Cluster 36000,6,unique
36001,Cluster 36001,10,unique
36002,Cluster 36002,5,unique
36003,Cluster 36003,5,unique
36004,Cluster 36004,3,unique
36005,Cluster 36005,5,unique
36006,Cluster 36006,25,unique
36007,Cluster 36007,6,unique
36008,Cluster 36008,1,unique
36009,Cluster 36009,47,unique
36010,Cluster 36010,1,unique
36011,Cluster 36011,1,unique
36012,Cluster 36012,1,unique
36013,Cluster 36013,563,accessory
36014,Cluster 36014,1,unique
36015,Cluster 36015,1,unique
36016,Cluster 36016,1,unique
36017,Cluster 36017,1,unique
36018,Cluster 36018,1,unique
36019,Cluster 36019,3,unique
36020,Cluster 36020,2,unique
36021,Cluster 36021,1,unique
36022,Cluster 36022,1,unique
36023,Cluster 36023,1,unique
36024,Cluster 36024,7,unique
36025,Cluster 36025,1,unique
36026,Cluster 36026,1,unique
36027,Cluster 36027,1,unique
36028,Cluster 36028,1,unique
36029,Cluster 36029,1,unique
36030,Cluster 36030,2,unique
36031,Cluster 36031,1,unique
36032,Cluster 36032,8,unique
36033,Cluster 36033,3,unique
36034,Cluster 36034,1,unique
36035,Cluster 36035,2,unique
36036,Cluster 36036,27,unique
36037,Cluster 36037,1,unique
36038,Cluster 36038,1,unique
36039,Cluster 36039,3,unique
36040,Cluster 36040,2,unique
36041,Cluster 36041,1,unique
36042,Cluster 36042,1,unique
36043,Cluster 36043,14,unique
36044,Cluster 36044,1,unique
36045,Cluster 36045,4,unique
36046,Cluster 36046,2,unique
36047,Cluster 36047,1,unique
36048,Cluster 36048,1,unique
36049,Cluster 36049,1,unique
36050,Cluster 36050,1,unique
36051,Cluster 36051,1,unique
36052,Cluster 36052,1,unique
36053,Cluster 36053,1965,core
36054,Cluster 36054,1,unique
36055,Cluster 36055,1,unique
36056,Cluster 36056,1,unique
36057,Cluster 36057,1,unique
36058,Cluster 36058,1,unique
36059,Cluster 36059,1,unique
36060,Cluster 36060,5,unique
36061,Cluster 36061,1,unique
36062,Cluster 36062,2,unique
36063,Cluster 36063,1,unique
36064,Cluster 36064,4,unique
36065,Cluster 36065,1,unique
36066,Cluster 36066,1,unique
36067,Cluster 36067,4,unique
36068,Cluster 36068,1,unique
36069,Cluster 36069,4,unique
36070,Cluster 36070,1,unique
36071,Cluster 36071,2,unique
36072,Cluster 36072,3,unique
36073,Cluster 36073,1,unique
36074,Cluster 36074,3,unique
36075,Cluster 36075,2,unique
36076,Cluster 36076,2,unique
36077,Cluster 36077,15,unique
36078,Cluster 36078,1,unique
36079,Cluster 36079,1,unique
36080,Cluster 36080,1,unique
36081,Cluster 36081,5,unique
36082,Cluster 36082,58,unique
36083,Cluster 36083,4,unique
36084,Cluster 36084,1,unique
36085,Cluster 36085,2,unique
36086,Cluster 36086,2,unique
36087,Cluster 36087,1,unique
36088,Cluster 36088,1,unique
36089,Cluster 36089,1,unique
36090,Cluster 36090,1,unique
36091,Cluster 36091,1,unique
36092,Cluster 36092,1,unique
36093,Cluster 36093,1,unique
36094,Cluster 36094,2,unique
36095,Cluster 36095,1,unique
36096,Cluster 36096,1,unique
36097,Cluster 36097,109,unique
36098,Cluster 36098,1,unique
36099,Cluster 36099,160,unique
36100,Cluster 36100,1,unique
36101,Cluster 36101,1,unique
36102,Cluster 36102,6,unique
36103,Cluster 36103,5,unique
36104,Cluster 36104,10,unique
36105,Cluster 36105,4,unique
36106,Cluster 36106,3,unique
36107,Cluster 36107,4,unique
36108,Cluster 36108,4,unique
36109,Cluster 36109,2,unique
36110,Cluster 36110,1,unique
36111,Cluster 36111,1,unique
36112,Cluster 36112,9,unique
36113,Cluster 36113,1,unique
36114,Cluster 36114,3,unique
36115,Cluster 36115,10,unique
36116,Cluster 36116,1,unique
36117,Cluster 36117,38,unique
36118,Cluster 36118,363,accessory
36119,Cluster 36119,1965,core
36120,Cluster 36120,385,accessory
36121,Cluster 36121,1970,core
36122,Cluster 36122,1970,core
36123,Cluster 36123,59,unique
36124,Cluster 36124,18,unique
36125,Cluster 36125,2,unique
36126,Cluster 36126,4,unique
36127,Cluster 36127,2,unique
36128,Cluster 36128,1967,core
36129,Cluster 36129,1,unique
36130,Cluster 36130,3,unique
36131,Cluster 36131,2,unique
36132,Cluster 36132,2,unique
36133,Cluster 36133,3,unique
36134,Cluster 36134,2,unique
36135,Cluster 36135,3,unique
36136,Cluster 36136,2,unique
36137,Cluster 36137,1,unique
36138,Cluster 36138,7,unique
36139,Cluster 36139,16,unique
36140,Cluster 36140,29,unique
36141,Cluster 36141,135,unique
36142,Cluster 36142,1,unique
36143,Cluster 36143,2,unique
36144,Cluster 36144,2,unique
36145,Cluster 36145,3,unique
36146,Cluster 36146,59,unique
36147,Cluster 36147,1,unique
36148,Cluster 36148,1,unique
36149,Cluster 36149,2,unique
36150,Cluster 36150,1,unique
36151,Cluster 36151,371,accessory
36152,Cluster 36152,42,unique
36153,Cluster 36153,1,unique
36154,Cluster 36154,8,unique
36155,Cluster 36155,1,unique
36156,Cluster 36156,1,unique
36157,Cluster 36157,76,unique
36158,Cluster 36158,2,unique
36159,Cluster 36159,14,unique
36160,Cluster 36160,313,accessory
36161,Cluster 36161,11,unique
36162,Cluster 36162,3,unique
36163,Cluster 36163,22,unique
36164,Cluster 36164,9,unique
36165,Cluster 36165,4,unique
36166,Cluster 36166,10,unique
36167,Cluster 36167,5,unique
36168,Cluster 36168,35,unique
36169,Cluster 36169,10,unique
36170,Cluster 36170,21,unique
36171,Cluster 36171,6,unique
36172,Cluster 36172,10,unique
36173,Cluster 36173,3,unique
36174,Cluster 36174,3,unique
36175,Cluster 36175,49,unique
36176,Cluster 36176,2,unique
36177,Cluster 36177,2,unique
36178,Cluster 36178,2,unique
36179,Cluster 36179,2,unique
36180,Cluster 36180,5,unique
36181,Cluster 36181,3,unique
36182,Cluster 36182,12,unique
36183,Cluster 36183,1,unique
36184,Cluster 36184,2,unique
36185,Cluster 36185,5,unique
36186,Cluster 36186,2,unique
36187,Cluster 36187,2,unique
36188,Cluster 36188,1,unique
36189,Cluster 36189,3,unique
36190,Cluster 36190,5,unique
36191,Cluster 36191,2,unique
36192,Cluster 36192,2,unique
36193,Cluster 36193,47,unique
36194,Cluster 36194,1,unique
36195,Cluster 36195,2,unique
36196,Cluster 36196,1,unique
36197,Cluster 36197,24,unique
36198,Cluster 36198,33,unique
36199,Cluster 36199,24,unique
36200,Cluster 36200,2,unique
36201,Cluster 36201,6,unique
36202,Cluster 36202,4,unique
36203,Cluster 36203,7,unique
36204,Cluster 36204,8,unique
36205,Cluster 36205,1,unique
36206,Cluster 36206,46,unique
36207,Cluster 36207,6,unique
36208,Cluster 36208,4,unique
36209,Cluster 36209,1,unique
36210,Cluster 36210,1,unique
36211,Cluster 36211,1,unique
36212,Cluster 36212,2,unique
36213,Cluster 36213,179,accessory
36214,Cluster 36214,1,unique
36215,Cluster 36215,2,unique
36216,Cluster 36216,3,unique
36217,Cluster 36217,6,unique
36218,Cluster 36218,2,unique
36219,Cluster 36219,5,unique
36220,Cluster 36220,2,unique
36221,Cluster 36221,2,unique
36222,Cluster 36222,2,unique
36223,Cluster 36223,14,unique
36224,Cluster 36224,1,unique
36225,Cluster 36225,9,unique
36226,Cluster 36226,9,unique
36227,Cluster 36227,41,unique
36228,Cluster 36228,20,unique
36229,Cluster 36229,4,unique
36230,Cluster 36230,4,unique
36231,Cluster 36231,2,unique
36232,Cluster 36232,51,unique
36233,Cluster 36233,1,unique
36234,Cluster 36234,2,unique
36235,Cluster 36235,2,unique
36236,Cluster 36236,4,unique
36237,Cluster 36237,2,unique
36238,Cluster 36238,1,unique
36239,Cluster 36239,3,unique
36240,Cluster 36240,3,unique
36241,Cluster 36241,1,unique
36242,Cluster 36242,3,unique
36243,Cluster 36243,1,unique
36244,Cluster 36244,2,unique
36245,Cluster 36245,5,unique
36246,Cluster 36246,27,unique
36247,Cluster 36247,1,unique
36248,Cluster 36248,6,unique
36249,Cluster 36249,1,unique
36250,Cluster 36250,1,unique
36251,Cluster 36251,3,unique
36252,Cluster 36252,1,unique
36253,Cluster 36253,2,unique
36254,Cluster 36254,2,unique
36255,Cluster 36255,1,unique
36256,Cluster 36256,5,unique
36257,Cluster 36257,1,unique
36258,Cluster 36258,6,unique
36259,Cluster 36259,1,unique
36260,Cluster 36260,311,accessory
36261,Cluster 36261,8,unique
36262,Cluster 36262,1,unique
36263,Cluster 36263,1,unique
36264,Cluster 36264,1,unique
36265,Cluster 36265,1,unique
36266,Cluster 36266,10,unique
36267,Cluster 36267,1,unique
36268,Cluster 36268,1,unique
36269,Cluster 36269,2,unique
36270,Cluster 36270,3,unique
36271,Cluster 36271,1,unique
36272,Cluster 36272,2,unique
36273,Cluster 36273,1,unique
36274,Cluster 36274,1,unique
36275,Cluster 36275,1,unique
36276,Cluster 36276,8,unique
36277,Cluster 36277,2,unique
36278,Cluster 36278,2,unique
36279,Cluster 36279,2,unique
36280,Cluster 36280,3,unique
36281,Cluster 36281,3,unique
36282,Cluster 36282,7,unique
36283,Cluster 36283,1,unique
36284,Cluster 36284,10,unique
36285,Cluster 36285,1,unique
36286,Cluster 36286,1,unique
36287,Cluster 36287,1,unique
36288,Cluster 36288,10,unique
36289,Cluster 36289,158,unique
36290,Cluster 36290,1,unique
36291,Cluster 36291,1,unique
36292,Cluster 36292,1,unique
36293,Cluster 36293,1,unique
36294,Cluster 36294,1,unique
36295,Cluster 36295,5,unique
36296,Cluster 36296,1,unique
36297,Cluster 36297,1,unique
36298,Cluster 36298,1,unique
36299,Cluster 36299,1,unique
36300,Cluster 36300,1,unique
36301,Cluster 36301,1,unique
36302,Cluster 36302,1,unique
36303,Cluster 36303,1,unique
36304,Cluster 36304,1,unique
36305,Cluster 36305,7,unique
36306,Cluster 36306,2,unique
36307,Cluster 36307,2,unique
36308,Cluster 36308,4,unique
36309,Cluster 36309,1967,core
36310,Cluster 36310,5,unique
36311,Cluster 36311,2,unique
36312,Cluster 36312,9,unique
36313,Cluster 36313,2,unique
36314,Cluster 36314,1,unique
36315,Cluster 36315,6,unique
36316,Cluster 36316,1970,core
36317,Cluster 36317,1873,accessory
36318,Cluster 36318,1970,core
36319,Cluster 36319,19,unique
36320,Cluster 36320,1968,core
36321,Cluster 36321,1960,core
36322,Cluster 36322,455,accessory
36323,Cluster 36323,1970,core
36324,Cluster 36324,1970,core
36325,Cluster 36325,420,accessory
36326,Cluster 36326,1962,core
36327,Cluster 36327,1965,core
36328,Cluster 36328,304,accessory
36329,Cluster 36329,1,unique
36330,Cluster 36330,43,unique
36331,Cluster 36331,2,unique
36332,Cluster 36332,2,unique
36333,Cluster 36333,3,unique
36334,Cluster 36334,1,unique
36335,Cluster 36335,2,unique
36336,Cluster 36336,3,unique
36337,Cluster 36337,8,unique
36338,Cluster 36338,467,accessory
36339,Cluster 36339,8,unique
36340,Cluster 36340,18,unique
36341,Cluster 36341,141,unique
36342,Cluster 36342,554,accessory
36343,Cluster 36343,43,unique
36344,Cluster 36344,55,unique
36345,Cluster 36345,190,accessory
36346,Cluster 36346,19,unique
36347,Cluster 36347,34,unique
36348,Cluster 36348,4,unique
36349,Cluster 36349,271,accessory
36350,Cluster 36350,362,accessory
36351,Cluster 36351,202,accessory
36352,Cluster 36352,1234,accessory
36353,Cluster 36353,47,unique
36354,Cluster 36354,1970,core
36355,Cluster 36355,1,unique
36356,Cluster 36356,5,unique
36357,Cluster 36357,52,unique
36358,Cluster 36358,22,unique
36359,Cluster 36359,13,unique
36360,Cluster 36360,1,unique
36361,Cluster 36361,21,unique
36362,Cluster 36362,23,unique
36363,Cluster 36363,18,unique
36364,Cluster 36364,30,unique
36365,Cluster 36365,765,accessory
36366,Cluster 36366,96,unique
36367,Cluster 36367,57,unique
36368,Cluster 36368,4,unique
36369,Cluster 36369,5,unique
36370,Cluster 36370,3,unique
36371,Cluster 36371,47,unique
36372,Cluster 36372,25,unique
36373,Cluster 36373,1,unique
36374,Cluster 36374,4,unique
36375,Cluster 36375,9,unique
36376,Cluster 36376,1,unique
36377,Cluster 36377,7,unique
36378,Cluster 36378,3,unique
36379,Cluster 36379,3,unique
36380,Cluster 36380,1,unique
36381,Cluster 36381,7,unique
36382,Cluster 36382,18,unique
36383,Cluster 36383,122,unique
36384,Cluster 36384,2,unique
36385,Cluster 36385,3,unique
36386,Cluster 36386,16,unique
36387,Cluster 36387,1,unique
36388,Cluster 36388,2,unique
36389,Cluster 36389,507,accessory
36390,Cluster 36390,2,unique
36391,Cluster 36391,64,unique
36392,Cluster 36392,3,unique
36393,Cluster 36393,1,unique
36394,Cluster 36394,2,unique
36395,Cluster 36395,6,unique
36396,Cluster 36396,2,unique
36397,Cluster 36397,9,unique
36398,Cluster 36398,2,unique
36399,Cluster 36399,8,unique
36400,Cluster 36400,1,unique
36401,Cluster 36401,2,unique
36402,Cluster 36402,1,unique
36403,Cluster 36403,1,unique
36404,Cluster 36404,3,unique
36405,Cluster 36405,4,unique
36406,Cluster 36406,1,unique
36407,Cluster 36407,1,unique
36408,Cluster 36408,2,unique
36409,Cluster 36409,1,unique
36410,Cluster 36410,11,unique
36411,Cluster 36411,2,unique
36412,Cluster 36412,1,unique
36413,Cluster 36413,4,unique
36414,Cluster 36414,14,unique
36415,Cluster 36415,1,unique
36416,Cluster 36416,8,unique
36417,Cluster 36417,7,unique
36418,Cluster 36418,1,unique
36419,Cluster 36419,1,unique
36420,Cluster 36420,1,unique
36421,Cluster 36421,1,unique
36422,Cluster 36422,4,unique
36423,Cluster 36423,2,unique
36424,Cluster 36424,2,unique
36425,Cluster 36425,3,unique
36426,Cluster 36426,1,unique
36427,Cluster 36427,3,unique
36428,Cluster 36428,3,unique
36429,Cluster 36429,1,unique
36430,Cluster 36430,1191,accessory
36431,Cluster 36431,1,unique
36432,Cluster 36432,2,unique
36433,Cluster 36433,3,unique
36434,Cluster 36434,2,unique
36435,Cluster 36435,1,unique
36436,Cluster 36436,2,unique
36437,Cluster 36437,1,unique
36438,Cluster 36438,1,unique
36439,Cluster 36439,1,unique
36440,Cluster 36440,1,unique
36441,Cluster 36441,1,unique
36442,Cluster 36442,1,unique
36443,Cluster 36443,1,unique
36444,Cluster 36444,1,unique
36445,Cluster 36445,2,unique
36446,Cluster 36446,1,unique
36447,Cluster 36447,1,unique
36448,Cluster 36448,1,unique
36449,Cluster 36449,1,unique
36450,Cluster 36450,1,unique
36451,Cluster 36451,1,unique
36452,Cluster 36452,2,unique
36453,Cluster 36453,3,unique
36454,Cluster 36454,5,unique
36455,Cluster 36455,1,unique
36456,Cluster 36456,1,unique
36457,Cluster 36457,1,unique
36458,Cluster 36458,1,unique
36459,Cluster 36459,2,unique
36460,Cluster 36460,2,unique
36461,Cluster 36461,1,unique
36462,Cluster 36462,1,unique
36463,Cluster 36463,1,unique
36464,Cluster 36464,1,unique
36465,Cluster 36465,4,unique
36466,Cluster 36466,2,unique
36467,Cluster 36467,16,unique
36468,Cluster 36468,2,unique
36469,Cluster 36469,1,unique
36470,Cluster 36470,3,unique
36471,Cluster 36471,2,unique
36472,Cluster 36472,16,unique
36473,Cluster 36473,8,unique
36474,Cluster 36474,1,unique
36475,Cluster 36475,3,unique
36476,Cluster 36476,1,unique
36477,Cluster 36477,3,unique
36478,Cluster 36478,2,unique
36479,Cluster 36479,1,unique
36480,Cluster 36480,2,unique
36481,Cluster 36481,1,unique
36482,Cluster 36482,3,unique
36483,Cluster 36483,1,unique
36484,Cluster 36484,1,unique
36485,Cluster 36485,1,unique
36486,Cluster 36486,1,unique
36487,Cluster 36487,2,unique
36488,Cluster 36488,1,unique
36489,Cluster 36489,1,unique
36490,Cluster 36490,1,unique
36491,Cluster 36491,1,unique
36492,Cluster 36492,1,unique
36493,Cluster 36493,2,unique
36494,Cluster 36494,1,unique
36495,Cluster 36495,1,unique
36496,Cluster 36496,1,unique
36497,Cluster 36497,1,unique
36498,Cluster 36498,1,unique
36499,Cluster 36499,1970,core
36500,Cluster 36500,1,unique
36501,Cluster 36501,82,unique
36502,Cluster 36502,110,unique
36503,Cluster 36503,5,unique
36504,Cluster 36504,1,unique
36505,Cluster 36505,30,unique
36506,Cluster 36506,1,unique
36507,Cluster 36507,1,unique
36508,Cluster 36508,3,unique
36509,Cluster 36509,1,unique
36510,Cluster 36510,7,unique
36511,Cluster 36511,3,unique
36512,Cluster 36512,17,unique
36513,Cluster 36513,3,unique
36514,Cluster 36514,1,unique
36515,Cluster 36515,1,unique
36516,Cluster 36516,1,unique
36517,Cluster 36517,1,unique
36518,Cluster 36518,1,unique
36519,Cluster 36519,1,unique
36520,Cluster 36520,1,unique
36521,Cluster 36521,1,unique
36522,Cluster 36522,1,unique
36523,Cluster 36523,1,unique
36524,Cluster 36524,1,unique
36525,Cluster 36525,1,unique
36526,Cluster 36526,1,unique
36527,Cluster 36527,1,unique
36528,Cluster 36528,1,unique
36529,Cluster 36529,3,unique
36530,Cluster 36530,1959,core
36531,Cluster 36531,719,accessory
36532,Cluster 36532,561,accessory
36533,Cluster 36533,285,accessory
36534,Cluster 36534,372,accessory
36535,Cluster 36535,390,accessory
36536,Cluster 36536,27,unique
36537,Cluster 36537,22,unique
36538,Cluster 36538,3,unique
36539,Cluster 36539,2,unique
36540,Cluster 36540,3,unique
36541,Cluster 36541,3,unique
36542,Cluster 36542,3,unique
36543,Cluster 36543,2,unique
36544,Cluster 36544,2,unique
36545,Cluster 36545,2,unique
36546,Cluster 36546,3,unique
36547,Cluster 36547,62,unique
36548,Cluster 36548,5,unique
36549,Cluster 36549,141,unique
36550,Cluster 36550,2,unique
36551,Cluster 36551,6,unique
36552,Cluster 36552,68,unique
36553,Cluster 36553,14,unique
36554,Cluster 36554,8,unique
36555,Cluster 36555,3,unique
36556,Cluster 36556,3,unique
36557,Cluster 36557,7,unique
36558,Cluster 36558,629,accessory
36559,Cluster 36559,216,accessory
36560,Cluster 36560,26,unique
