, ,Number of genomes,gene_class
5799,Cluster 5799,2,unique
5800,Cluster 5800,1587,core
5801,Cluster 5801,1585,core
5802,Cluster 5802,1589,core
5803,Cluster 5803,1578,core
5804,Cluster 5804,1558,core
5805,Cluster 5805,1589,core
5806,Cluster 5806,1585,core
5807,Cluster 5807,1527,core
5808,Cluster 5808,1,unique
5809,Cluster 5809,4,unique
5810,Cluster 5810,101,accessory
5811,Cluster 5811,1586,core
5812,Cluster 5812,6,unique
5813,Cluster 5813,12,unique
5814,Cluster 5814,1,unique
5815,Cluster 5815,1,unique
5816,Cluster 5816,1588,core
5817,Cluster 5817,1,unique
5818,Cluster 5818,1588,core
5819,Cluster 5819,1,unique
5820,Cluster 5820,1,unique
5821,Cluster 5821,1587,core
5822,Cluster 5822,1589,core
5823,Cluster 5823,1588,core
5824,Cluster 5824,1437,accessory
5825,Cluster 5825,1589,core
5826,Cluster 5826,1,unique
5827,Cluster 5827,1587,core
5828,Cluster 5828,2,unique
5829,Cluster 5829,1,unique
5830,Cluster 5830,1,unique
5831,Cluster 5831,1,unique
5832,Cluster 5832,1,unique
5833,Cluster 5833,1,unique
5834,Cluster 5834,1585,core
5835,Cluster 5835,1,unique
5836,Cluster 5836,7,unique
5837,Cluster 5837,2,unique
5838,Cluster 5838,2,unique
5839,Cluster 5839,1570,core
5840,Cluster 5840,1,unique
5841,Cluster 5841,1,unique
5842,Cluster 5842,1,unique
5843,Cluster 5843,1585,core
5844,Cluster 5844,1587,core
5845,Cluster 5845,1585,core
5846,Cluster 5846,2,unique
5847,Cluster 5847,1,unique
5848,Cluster 5848,4,unique
5849,Cluster 5849,3,unique
5850,Cluster 5850,10,unique
5851,Cluster 5851,446,accessory
5852,Cluster 5852,2,unique
5853,Cluster 5853,2,unique
5854,Cluster 5854,1,unique
5855,Cluster 5855,1,unique
5856,Cluster 5856,1,unique
5857,Cluster 5857,1587,core
5858,Cluster 5858,1,unique
5859,Cluster 5859,1,unique
5860,Cluster 5860,2,unique
5861,Cluster 5861,1,unique
5862,Cluster 5862,2,unique
5863,Cluster 5863,1,unique
5864,Cluster 5864,1,unique
5865,Cluster 5865,2,unique
5866,Cluster 5866,1583,core
5867,Cluster 5867,1,unique
5868,Cluster 5868,2,unique
5869,Cluster 5869,1587,core
5870,Cluster 5870,1589,core
5871,Cluster 5871,2,unique
5872,Cluster 5872,1,unique
5873,Cluster 5873,2,unique
5874,Cluster 5874,1578,core
5875,Cluster 5875,2,unique
5876,Cluster 5876,2,unique
5877,Cluster 5877,1,unique
5878,Cluster 5878,2,unique
5879,Cluster 5879,1,unique
5880,Cluster 5880,1,unique
5881,Cluster 5881,1,unique
5882,Cluster 5882,6,unique
5883,Cluster 5883,1,unique
5884,Cluster 5884,1,unique
5885,Cluster 5885,2,unique
5886,Cluster 5886,2,unique
5887,Cluster 5887,146,accessory
5888,Cluster 5888,1,unique
5889,Cluster 5889,1,unique
5890,Cluster 5890,1,unique
5891,Cluster 5891,1,unique
5892,Cluster 5892,2,unique
5893,Cluster 5893,2,unique
5894,Cluster 5894,2,unique
5895,Cluster 5895,3,unique
5896,Cluster 5896,146,accessory
5897,Cluster 5897,1579,core
5898,Cluster 5898,1583,core
5899,Cluster 5899,1588,core
5900,Cluster 5900,959,accessory
5901,Cluster 5901,1,unique
5902,Cluster 5902,1589,core
5903,Cluster 5903,1578,core
5904,Cluster 5904,1,unique
5905,Cluster 5905,3,unique
5906,Cluster 5906,1,unique
5907,Cluster 5907,5,unique
5908,Cluster 5908,1,unique
5909,Cluster 5909,2,unique
5910,Cluster 5910,1,unique
5911,Cluster 5911,2,unique
5912,Cluster 5912,1,unique
5913,Cluster 5913,1574,core
5914,Cluster 5914,1588,core
5915,Cluster 5915,3,unique
5916,Cluster 5916,1,unique
5917,Cluster 5917,3,unique
5918,Cluster 5918,1,unique
5919,Cluster 5919,3,unique
5920,Cluster 5920,1,unique
5921,Cluster 5921,1589,core
5922,Cluster 5922,1589,core
5923,Cluster 5923,1588,core
5924,Cluster 5924,1588,core
5925,Cluster 5925,1589,core
5926,Cluster 5926,1588,core
5927,Cluster 5927,1572,core
5928,Cluster 5928,1588,core
5929,Cluster 5929,1581,core
5930,Cluster 5930,1,unique
5931,Cluster 5931,1,unique
5932,Cluster 5932,52,unique
5933,Cluster 5933,1589,core
5934,Cluster 5934,1,unique
5935,Cluster 5935,5,unique
5936,Cluster 5936,1,unique
5937,Cluster 5937,1,unique
5938,Cluster 5938,1,unique
5939,Cluster 5939,2,unique
5940,Cluster 5940,1,unique
5941,Cluster 5941,2,unique
5942,Cluster 5942,1,unique
5943,Cluster 5943,6,unique
5944,Cluster 5944,2,unique
5945,Cluster 5945,2,unique
5946,Cluster 5946,1,unique
5947,Cluster 5947,1,unique
5948,Cluster 5948,2,unique
5949,Cluster 5949,3,unique
5950,Cluster 5950,1,unique
5951,Cluster 5951,1,unique
5952,Cluster 5952,5,unique
5953,Cluster 5953,3,unique
5954,Cluster 5954,1587,core
5955,Cluster 5955,1585,core
5956,Cluster 5956,1585,core
5957,Cluster 5957,1585,core
5958,Cluster 5958,1589,core
5959,Cluster 5959,1586,core
5960,Cluster 5960,3,unique
5961,Cluster 5961,1583,core
5962,Cluster 5962,1,unique
5963,Cluster 5963,1589,core
5964,Cluster 5964,3,unique
5965,Cluster 5965,1,unique
5966,Cluster 5966,4,unique
5967,Cluster 5967,1,unique
5968,Cluster 5968,8,unique
5969,Cluster 5969,2,unique
5970,Cluster 5970,1,unique
5971,Cluster 5971,1,unique
5972,Cluster 5972,1577,core
5973,Cluster 5973,18,unique
5974,Cluster 5974,1,unique
5975,Cluster 5975,1490,accessory
5976,Cluster 5976,1,unique
5977,Cluster 5977,1587,core
5978,Cluster 5978,1568,core
5979,Cluster 5979,1578,core
5980,Cluster 5980,452,accessory
5981,Cluster 5981,1134,accessory
5982,Cluster 5982,4,unique
5983,Cluster 5983,3,unique
5984,Cluster 5984,3,unique
5985,Cluster 5985,1,unique
5986,Cluster 5986,5,unique
5987,Cluster 5987,1,unique
5988,Cluster 5988,1574,core
5989,Cluster 5989,1376,accessory
5990,Cluster 5990,20,unique
5991,Cluster 5991,2,unique
5992,Cluster 5992,4,unique
5993,Cluster 5993,1,unique
5994,Cluster 5994,2,unique
5995,Cluster 5995,1,unique
5996,Cluster 5996,2,unique
5997,Cluster 5997,1,unique
5998,Cluster 5998,4,unique
5999,Cluster 5999,3,unique
6000,Cluster 6000,7,unique
6001,Cluster 6001,4,unique
6002,Cluster 6002,1,unique
6003,Cluster 6003,2,unique
6004,Cluster 6004,1,unique
6005,Cluster 6005,1,unique
6006,Cluster 6006,2,unique
6007,Cluster 6007,3,unique
6008,Cluster 6008,1587,core
6009,Cluster 6009,1585,core
6010,Cluster 6010,1589,core
6011,Cluster 6011,1371,accessory
6012,Cluster 6012,1515,accessory
6013,Cluster 6013,4,unique
6014,Cluster 6014,1575,core
6015,Cluster 6015,1586,core
6016,Cluster 6016,10,unique
6017,Cluster 6017,1,unique
6018,Cluster 6018,1,unique
6019,Cluster 6019,1588,core
6020,Cluster 6020,1,unique
6021,Cluster 6021,1,unique
6022,Cluster 6022,2,unique
6023,Cluster 6023,1414,accessory
6024,Cluster 6024,1,unique
6025,Cluster 6025,1,unique
6026,Cluster 6026,1,unique
6027,Cluster 6027,2,unique
6028,Cluster 6028,2,unique
6029,Cluster 6029,1,unique
6030,Cluster 6030,5,unique
6031,Cluster 6031,2,unique
6032,Cluster 6032,1,unique
6033,Cluster 6033,1567,core
6034,Cluster 6034,1533,core
6035,Cluster 6035,443,accessory
6036,Cluster 6036,1588,core
6037,Cluster 6037,1583,core
6038,Cluster 6038,1585,core
6039,Cluster 6039,1588,core
6040,Cluster 6040,1589,core
6041,Cluster 6041,1589,core
6042,Cluster 6042,1588,core
6043,Cluster 6043,2,unique
6044,Cluster 6044,1583,core
6045,Cluster 6045,65,unique
6046,Cluster 6046,177,accessory
6047,Cluster 6047,1,unique
6048,Cluster 6048,1,unique
6049,Cluster 6049,1,unique
6050,Cluster 6050,1588,core
6051,Cluster 6051,6,unique
6052,Cluster 6052,1,unique
6053,Cluster 6053,129,accessory
6054,Cluster 6054,1,unique
6055,Cluster 6055,1,unique
6056,Cluster 6056,2,unique
6057,Cluster 6057,2,unique
6058,Cluster 6058,3,unique
6059,Cluster 6059,5,unique
6060,Cluster 6060,1,unique
6061,Cluster 6061,3,unique
6062,Cluster 6062,1,unique
6063,Cluster 6063,4,unique
6064,Cluster 6064,1589,core
6065,Cluster 6065,1587,core
6066,Cluster 6066,1584,core
6067,Cluster 6067,1,unique
6068,Cluster 6068,39,unique
6069,Cluster 6069,1,unique
6070,Cluster 6070,8,unique
6071,Cluster 6071,1584,core
6072,Cluster 6072,24,unique
6073,Cluster 6073,9,unique
6074,Cluster 6074,2,unique
6075,Cluster 6075,1,unique
6076,Cluster 6076,4,unique
6077,Cluster 6077,1,unique
6078,Cluster 6078,1,unique
6079,Cluster 6079,2,unique
6080,Cluster 6080,1,unique
6081,Cluster 6081,2,unique
6082,Cluster 6082,571,accessory
6083,Cluster 6083,1585,core
6084,Cluster 6084,480,accessory
6085,Cluster 6085,92,unique
6086,Cluster 6086,1,unique
6087,Cluster 6087,1549,core
6088,Cluster 6088,1,unique
6089,Cluster 6089,1582,core
6090,Cluster 6090,1,unique
6091,Cluster 6091,1,unique
6092,Cluster 6092,1,unique
6093,Cluster 6093,4,unique
6094,Cluster 6094,1,unique
6095,Cluster 6095,3,unique
6096,Cluster 6096,3,unique
6097,Cluster 6097,4,unique
6098,Cluster 6098,1,unique
6099,Cluster 6099,2,unique
6100,Cluster 6100,2,unique
6101,Cluster 6101,1,unique
6102,Cluster 6102,14,unique
6103,Cluster 6103,1529,core
6104,Cluster 6104,1,unique
6105,Cluster 6105,2,unique
6106,Cluster 6106,1588,core
6107,Cluster 6107,1587,core
6108,Cluster 6108,1589,core
6109,Cluster 6109,1589,core
6110,Cluster 6110,1576,core
6111,Cluster 6111,139,accessory
6112,Cluster 6112,1,unique
6113,Cluster 6113,14,unique
6114,Cluster 6114,69,unique
6115,Cluster 6115,1589,core
6116,Cluster 6116,4,unique
6117,Cluster 6117,1,unique
6118,Cluster 6118,1586,core
6119,Cluster 6119,92,unique
6120,Cluster 6120,1,unique
6121,Cluster 6121,1,unique
6122,Cluster 6122,1577,core
6123,Cluster 6123,3,unique
6124,Cluster 6124,6,unique
6125,Cluster 6125,1,unique
6126,Cluster 6126,5,unique
6127,Cluster 6127,13,unique
6128,Cluster 6128,1,unique
6129,Cluster 6129,1,unique
6130,Cluster 6130,3,unique
6131,Cluster 6131,9,unique
6132,Cluster 6132,1587,core
6133,Cluster 6133,10,unique
6134,Cluster 6134,1,unique
6135,Cluster 6135,1587,core
6136,Cluster 6136,1,unique
6137,Cluster 6137,2,unique
6138,Cluster 6138,2,unique
6139,Cluster 6139,1,unique
6140,Cluster 6140,6,unique
6141,Cluster 6141,1,unique
6142,Cluster 6142,1545,core
6143,Cluster 6143,1587,core
6144,Cluster 6144,1589,core
6145,Cluster 6145,1583,core
6146,Cluster 6146,1588,core
6147,Cluster 6147,1588,core
6148,Cluster 6148,1588,core
6149,Cluster 6149,1488,accessory
6150,Cluster 6150,1585,core
6151,Cluster 6151,1588,core
6152,Cluster 6152,1,unique
6153,Cluster 6153,2,unique
6154,Cluster 6154,1,unique
6155,Cluster 6155,3,unique
6156,Cluster 6156,1,unique
6157,Cluster 6157,1,unique
6158,Cluster 6158,23,unique
6159,Cluster 6159,1,unique
6160,Cluster 6160,1,unique
6161,Cluster 6161,7,unique
6162,Cluster 6162,13,unique
6163,Cluster 6163,1,unique
6164,Cluster 6164,2,unique
6165,Cluster 6165,1,unique
6166,Cluster 6166,696,accessory
6167,Cluster 6167,3,unique
6168,Cluster 6168,1,unique
6169,Cluster 6169,1,unique
6170,Cluster 6170,6,unique
6171,Cluster 6171,1,unique
6172,Cluster 6172,1,unique
6173,Cluster 6173,1,unique
6174,Cluster 6174,1,unique
6175,Cluster 6175,1,unique
6176,Cluster 6176,1,unique
6177,Cluster 6177,2,unique
6178,Cluster 6178,3,unique
6179,Cluster 6179,1,unique
6180,Cluster 6180,1,unique
6181,Cluster 6181,2,unique
6182,Cluster 6182,1,unique
6183,Cluster 6183,1589,core
6184,Cluster 6184,1589,core
6185,Cluster 6185,1587,core
6186,Cluster 6186,1585,core
6187,Cluster 6187,1585,core
6188,Cluster 6188,1588,core
6189,Cluster 6189,1585,core
6190,Cluster 6190,1587,core
6191,Cluster 6191,1589,core
6192,Cluster 6192,1,unique
6193,Cluster 6193,1587,core
6194,Cluster 6194,1,unique
6195,Cluster 6195,2,unique
6196,Cluster 6196,4,unique
6197,Cluster 6197,9,unique
6198,Cluster 6198,1562,core
6199,Cluster 6199,3,unique
6200,Cluster 6200,1,unique
6201,Cluster 6201,1,unique
6202,Cluster 6202,1,unique
6203,Cluster 6203,1589,core
6204,Cluster 6204,4,unique
6205,Cluster 6205,1,unique
6206,Cluster 6206,60,unique
6207,Cluster 6207,1,unique
6208,Cluster 6208,1,unique
6209,Cluster 6209,1588,core
6210,Cluster 6210,3,unique
6211,Cluster 6211,20,unique
6212,Cluster 6212,1,unique
6213,Cluster 6213,438,accessory
6214,Cluster 6214,1588,core
6215,Cluster 6215,1581,core
6216,Cluster 6216,1587,core
6217,Cluster 6217,1583,core
6218,Cluster 6218,1581,core
6219,Cluster 6219,1588,core
6220,Cluster 6220,43,unique
6221,Cluster 6221,941,accessory
6222,Cluster 6222,1587,core
6223,Cluster 6223,124,accessory
6224,Cluster 6224,163,accessory
6225,Cluster 6225,4,unique
6226,Cluster 6226,1,unique
6227,Cluster 6227,2,unique
6228,Cluster 6228,2,unique
6229,Cluster 6229,1,unique
6230,Cluster 6230,1,unique
6231,Cluster 6231,1,unique
6232,Cluster 6232,35,unique
6233,Cluster 6233,2,unique
6234,Cluster 6234,2,unique
6235,Cluster 6235,1,unique
6236,Cluster 6236,1584,core
6237,Cluster 6237,166,accessory
6238,Cluster 6238,1,unique
6239,Cluster 6239,2,unique
6240,Cluster 6240,1,unique
6241,Cluster 6241,3,unique
6242,Cluster 6242,1572,core
6243,Cluster 6243,1580,core
6244,Cluster 6244,1587,core
6245,Cluster 6245,1,unique
6246,Cluster 6246,55,unique
6247,Cluster 6247,1585,core
6248,Cluster 6248,4,unique
6249,Cluster 6249,2,unique
6250,Cluster 6250,1585,core
6251,Cluster 6251,201,accessory
6252,Cluster 6252,1,unique
6253,Cluster 6253,1,unique
6254,Cluster 6254,2,unique
6255,Cluster 6255,1586,core
6256,Cluster 6256,1587,core
6257,Cluster 6257,1582,core
6258,Cluster 6258,1588,core
6259,Cluster 6259,1,unique
6260,Cluster 6260,1,unique
6261,Cluster 6261,1,unique
6262,Cluster 6262,1586,core
6263,Cluster 6263,1,unique
6264,Cluster 6264,5,unique
6265,Cluster 6265,1,unique
6266,Cluster 6266,3,unique
6267,Cluster 6267,1460,accessory
6268,Cluster 6268,1589,core
6269,Cluster 6269,1,unique
6270,Cluster 6270,4,unique
6271,Cluster 6271,2,unique
6272,Cluster 6272,12,unique
6273,Cluster 6273,3,unique
6274,Cluster 6274,1,unique
6275,Cluster 6275,1,unique
6276,Cluster 6276,1577,core
6277,Cluster 6277,1589,core
6278,Cluster 6278,1587,core
6279,Cluster 6279,1588,core
6280,Cluster 6280,1542,core
6281,Cluster 6281,1588,core
6282,Cluster 6282,1587,core
6283,Cluster 6283,1,unique
6284,Cluster 6284,1,unique
6285,Cluster 6285,1583,core
6286,Cluster 6286,1582,core
6287,Cluster 6287,1,unique
6288,Cluster 6288,1589,core
6289,Cluster 6289,1,unique
6290,Cluster 6290,1,unique
6291,Cluster 6291,4,unique
6292,Cluster 6292,1,unique
6293,Cluster 6293,3,unique
6294,Cluster 6294,2,unique
6295,Cluster 6295,3,unique
6296,Cluster 6296,2,unique
6297,Cluster 6297,1,unique
6298,Cluster 6298,1,unique
6299,Cluster 6299,2,unique
6300,Cluster 6300,2,unique
6301,Cluster 6301,1589,core
6302,Cluster 6302,4,unique
6303,Cluster 6303,1,unique
6304,Cluster 6304,1,unique
6305,Cluster 6305,1,unique
6306,Cluster 6306,1,unique
6307,Cluster 6307,3,unique
6308,Cluster 6308,1587,core
6309,Cluster 6309,1588,core
6310,Cluster 6310,1549,core
6311,Cluster 6311,1587,core
6312,Cluster 6312,1585,core
6313,Cluster 6313,1580,core
6314,Cluster 6314,198,accessory
6315,Cluster 6315,1,unique
6316,Cluster 6316,1,unique
6317,Cluster 6317,2,unique
6318,Cluster 6318,1,unique
6319,Cluster 6319,1,unique
6320,Cluster 6320,411,accessory
6321,Cluster 6321,2,unique
6322,Cluster 6322,1,unique
6323,Cluster 6323,2,unique
6324,Cluster 6324,1588,core
6325,Cluster 6325,758,accessory
6326,Cluster 6326,10,unique
6327,Cluster 6327,1,unique
6328,Cluster 6328,2,unique
6329,Cluster 6329,1,unique
6330,Cluster 6330,2,unique
6331,Cluster 6331,2,unique
6332,Cluster 6332,2,unique
6333,Cluster 6333,1,unique
6334,Cluster 6334,1,unique
6335,Cluster 6335,5,unique
6336,Cluster 6336,5,unique
6337,Cluster 6337,1517,accessory
6338,Cluster 6338,1,unique
6339,Cluster 6339,3,unique
6340,Cluster 6340,1,unique
6341,Cluster 6341,1586,core
6342,Cluster 6342,1587,core
6343,Cluster 6343,1586,core
6344,Cluster 6344,1587,core
6345,Cluster 6345,1587,core
6346,Cluster 6346,1589,core
6347,Cluster 6347,1589,core
6348,Cluster 6348,1589,core
6349,Cluster 6349,1587,core
6350,Cluster 6350,1445,accessory
6351,Cluster 6351,1587,core
6352,Cluster 6352,1583,core
6353,Cluster 6353,1588,core
6354,Cluster 6354,1586,core
6355,Cluster 6355,2,unique
6356,Cluster 6356,1,unique
6357,Cluster 6357,1,unique
6358,Cluster 6358,1,unique
6359,Cluster 6359,7,unique
6360,Cluster 6360,1,unique
6361,Cluster 6361,1589,core
6362,Cluster 6362,2,unique
6363,Cluster 6363,1,unique
6364,Cluster 6364,79,unique
6365,Cluster 6365,1,unique
6366,Cluster 6366,2,unique
6367,Cluster 6367,3,unique
6368,Cluster 6368,1588,core
6369,Cluster 6369,1,unique
6370,Cluster 6370,1,unique
6371,Cluster 6371,10,unique
6372,Cluster 6372,3,unique
6373,Cluster 6373,1,unique
6374,Cluster 6374,3,unique
6375,Cluster 6375,1589,core
6376,Cluster 6376,1,unique
6377,Cluster 6377,1579,core
6378,Cluster 6378,1579,core
6379,Cluster 6379,1588,core
6380,Cluster 6380,1,unique
6381,Cluster 6381,1,unique
6382,Cluster 6382,3,unique
6383,Cluster 6383,2,unique
6384,Cluster 6384,1497,accessory
6385,Cluster 6385,5,unique
6386,Cluster 6386,3,unique
6387,Cluster 6387,1,unique
6388,Cluster 6388,1544,core
6389,Cluster 6389,1,unique
6390,Cluster 6390,1583,core
6391,Cluster 6391,1,unique
6392,Cluster 6392,1588,core
6393,Cluster 6393,1587,core
6394,Cluster 6394,1568,core
6395,Cluster 6395,1589,core
6396,Cluster 6396,1573,core
6397,Cluster 6397,1585,core
6398,Cluster 6398,1222,accessory
6399,Cluster 6399,8,unique
6400,Cluster 6400,1577,core
6401,Cluster 6401,822,accessory
6402,Cluster 6402,1583,core
6403,Cluster 6403,2,unique
6404,Cluster 6404,1578,core
6405,Cluster 6405,31,unique
6406,Cluster 6406,1,unique
6407,Cluster 6407,22,unique
6408,Cluster 6408,5,unique
6409,Cluster 6409,3,unique
6410,Cluster 6410,4,unique
6411,Cluster 6411,1,unique
6412,Cluster 6412,5,unique
6413,Cluster 6413,2,unique
6414,Cluster 6414,2,unique
6415,Cluster 6415,1,unique
6416,Cluster 6416,2,unique
6417,Cluster 6417,1,unique
6418,Cluster 6418,1,unique
6419,Cluster 6419,1587,core
6420,Cluster 6420,1,unique
6421,Cluster 6421,11,unique
6422,Cluster 6422,2,unique
6423,Cluster 6423,1588,core
6424,Cluster 6424,1584,core
6425,Cluster 6425,1538,core
6426,Cluster 6426,1586,core
6427,Cluster 6427,1,unique
6428,Cluster 6428,1565,core
6429,Cluster 6429,1586,core
6430,Cluster 6430,23,unique
6431,Cluster 6431,2,unique
6432,Cluster 6432,1,unique
6433,Cluster 6433,42,unique
6434,Cluster 6434,2,unique
6435,Cluster 6435,1578,core
6436,Cluster 6436,1,unique
6437,Cluster 6437,6,unique
6438,Cluster 6438,1,unique
6439,Cluster 6439,1,unique
6440,Cluster 6440,2,unique
6441,Cluster 6441,3,unique
6442,Cluster 6442,3,unique
6443,Cluster 6443,2,unique
6444,Cluster 6444,2,unique
6445,Cluster 6445,1,unique
6446,Cluster 6446,5,unique
6447,Cluster 6447,2,unique
6448,Cluster 6448,1,unique
6449,Cluster 6449,2,unique
6450,Cluster 6450,1,unique
6451,Cluster 6451,1,unique
6452,Cluster 6452,9,unique
6453,Cluster 6453,1587,core
6454,Cluster 6454,1578,core
6455,Cluster 6455,1578,core
6456,Cluster 6456,578,accessory
6457,Cluster 6457,1588,core
6458,Cluster 6458,1566,core
6459,Cluster 6459,1586,core
6460,Cluster 6460,1589,core
6461,Cluster 6461,156,accessory
6462,Cluster 6462,765,accessory
6463,Cluster 6463,1018,accessory
6464,Cluster 6464,90,unique
6465,Cluster 6465,1,unique
6466,Cluster 6466,1585,core
6467,Cluster 6467,3,unique
6468,Cluster 6468,1,unique
6469,Cluster 6469,1,unique
6470,Cluster 6470,4,unique
6471,Cluster 6471,5,unique
6472,Cluster 6472,10,unique
6473,Cluster 6473,1,unique
6474,Cluster 6474,1,unique
6475,Cluster 6475,3,unique
6476,Cluster 6476,1,unique
6477,Cluster 6477,1,unique
6478,Cluster 6478,1589,core
6479,Cluster 6479,1588,core
6480,Cluster 6480,1579,core
6481,Cluster 6481,1577,core
6482,Cluster 6482,1499,accessory
6483,Cluster 6483,1588,core
6484,Cluster 6484,1588,core
6485,Cluster 6485,1586,core
6486,Cluster 6486,1404,accessory
6487,Cluster 6487,1584,core
6488,Cluster 6488,1586,core
6489,Cluster 6489,1589,core
6490,Cluster 6490,327,accessory
6491,Cluster 6491,733,accessory
6492,Cluster 6492,763,accessory
6493,Cluster 6493,1,unique
6494,Cluster 6494,2,unique
6495,Cluster 6495,110,accessory
6496,Cluster 6496,1586,core
6497,Cluster 6497,2,unique
6498,Cluster 6498,1,unique
6499,Cluster 6499,1,unique
6500,Cluster 6500,7,unique
6501,Cluster 6501,3,unique
6502,Cluster 6502,1,unique
6503,Cluster 6503,1,unique
6504,Cluster 6504,3,unique
6505,Cluster 6505,1,unique
6506,Cluster 6506,1583,core
6507,Cluster 6507,13,unique
6508,Cluster 6508,1,unique
6509,Cluster 6509,3,unique
6510,Cluster 6510,3,unique
6511,Cluster 6511,2,unique
6512,Cluster 6512,1,unique
6513,Cluster 6513,1,unique
6514,Cluster 6514,1586,core
6515,Cluster 6515,1588,core
6516,Cluster 6516,1581,core
6517,Cluster 6517,1587,core
6518,Cluster 6518,1589,core
6519,Cluster 6519,1,unique
6520,Cluster 6520,1571,core
6521,Cluster 6521,1,unique
6522,Cluster 6522,301,accessory
6523,Cluster 6523,46,unique
6524,Cluster 6524,4,unique
6525,Cluster 6525,1,unique
6526,Cluster 6526,1,unique
6527,Cluster 6527,1,unique
6528,Cluster 6528,3,unique
6529,Cluster 6529,1,unique
6530,Cluster 6530,2,unique
6531,Cluster 6531,2,unique
6532,Cluster 6532,1582,core
6533,Cluster 6533,1,unique
6534,Cluster 6534,1285,accessory
6535,Cluster 6535,1576,core
6536,Cluster 6536,1588,core
6537,Cluster 6537,1589,core
6538,Cluster 6538,1585,core
6539,Cluster 6539,1585,core
6540,Cluster 6540,1589,core
6541,Cluster 6541,2,unique
6542,Cluster 6542,8,unique
6543,Cluster 6543,1588,core
6544,Cluster 6544,3,unique
6545,Cluster 6545,1,unique
6546,Cluster 6546,1,unique
6547,Cluster 6547,1,unique
6548,Cluster 6548,16,unique
6549,Cluster 6549,1,unique
6550,Cluster 6550,6,unique
6551,Cluster 6551,18,unique
6552,Cluster 6552,2,unique
6553,Cluster 6553,2,unique
6554,Cluster 6554,1586,core
6555,Cluster 6555,1,unique
6556,Cluster 6556,1576,core
6557,Cluster 6557,1,unique
6558,Cluster 6558,4,unique
6559,Cluster 6559,2,unique
6560,Cluster 6560,1,unique
6561,Cluster 6561,1,unique
6562,Cluster 6562,1,unique
6563,Cluster 6563,2,unique
6564,Cluster 6564,5,unique
6565,Cluster 6565,1585,core
6566,Cluster 6566,1588,core
6567,Cluster 6567,1588,core
6568,Cluster 6568,1589,core
6569,Cluster 6569,98,accessory
6570,Cluster 6570,1580,core
6571,Cluster 6571,1,unique
6572,Cluster 6572,2,unique
6573,Cluster 6573,2,unique
6574,Cluster 6574,1587,core
6575,Cluster 6575,2,unique
6576,Cluster 6576,2,unique
6577,Cluster 6577,3,unique
6578,Cluster 6578,47,unique
6579,Cluster 6579,2,unique
6580,Cluster 6580,1585,core
6581,Cluster 6581,27,unique
6582,Cluster 6582,1,unique
6583,Cluster 6583,21,unique
6584,Cluster 6584,3,unique
6585,Cluster 6585,2,unique
6586,Cluster 6586,3,unique
6587,Cluster 6587,1586,core
6588,Cluster 6588,2,unique
6589,Cluster 6589,2,unique
6590,Cluster 6590,1,unique
6591,Cluster 6591,1,unique
6592,Cluster 6592,1564,core
6593,Cluster 6593,1,unique
6594,Cluster 6594,1588,core
6595,Cluster 6595,44,unique
6596,Cluster 6596,1577,core
6597,Cluster 6597,1589,core
6598,Cluster 6598,1587,core
6599,Cluster 6599,1588,core
6600,Cluster 6600,1,unique
6601,Cluster 6601,1586,core
6602,Cluster 6602,733,accessory
6603,Cluster 6603,1,unique
6604,Cluster 6604,1585,core
6605,Cluster 6605,12,unique
6606,Cluster 6606,8,unique
6607,Cluster 6607,1,unique
6608,Cluster 6608,4,unique
6609,Cluster 6609,3,unique
6610,Cluster 6610,1,unique
6611,Cluster 6611,1,unique
6612,Cluster 6612,4,unique
6613,Cluster 6613,3,unique
6614,Cluster 6614,3,unique
6615,Cluster 6615,1,unique
6616,Cluster 6616,1,unique
6617,Cluster 6617,1586,core
6618,Cluster 6618,1588,core
6619,Cluster 6619,1586,core
6620,Cluster 6620,1580,core
6621,Cluster 6621,417,accessory
6622,Cluster 6622,3,unique
6623,Cluster 6623,12,unique
6624,Cluster 6624,3,unique
6625,Cluster 6625,5,unique
6626,Cluster 6626,24,unique
6627,Cluster 6627,1,unique
6628,Cluster 6628,1,unique
6629,Cluster 6629,2,unique
6630,Cluster 6630,1584,core
6631,Cluster 6631,2,unique
6632,Cluster 6632,2,unique
6633,Cluster 6633,11,unique
6634,Cluster 6634,172,accessory
6635,Cluster 6635,1,unique
6636,Cluster 6636,1,unique
6637,Cluster 6637,1,unique
6638,Cluster 6638,1,unique
6639,Cluster 6639,1,unique
6640,Cluster 6640,1,unique
6641,Cluster 6641,1,unique
6642,Cluster 6642,2,unique
6643,Cluster 6643,6,unique
6644,Cluster 6644,2,unique
6645,Cluster 6645,3,unique
6646,Cluster 6646,1,unique
6647,Cluster 6647,1,unique
6648,Cluster 6648,1,unique
6649,Cluster 6649,1588,core
6650,Cluster 6650,1577,core
6651,Cluster 6651,1544,core
6652,Cluster 6652,4,unique
6653,Cluster 6653,1588,core
6654,Cluster 6654,1,unique
6655,Cluster 6655,9,unique
6656,Cluster 6656,1580,core
6657,Cluster 6657,1,unique
6658,Cluster 6658,1,unique
6659,Cluster 6659,1,unique
6660,Cluster 6660,1,unique
6661,Cluster 6661,1,unique
6662,Cluster 6662,1,unique
6663,Cluster 6663,4,unique
6664,Cluster 6664,1,unique
6665,Cluster 6665,7,unique
6666,Cluster 6666,1,unique
6667,Cluster 6667,3,unique
