, ,Number of genomes
619,Cluster 619,1
620,Cluster 620,1
621,Cluster 621,1
622,Cluster 622,3
623,Cluster 623,2
624,Cluster 624,1
625,Cluster 625,4
626,Cluster 626,1
627,Cluster 627,1
628,Cluster 628,2
629,Cluster 629,8
630,Cluster 630,3
631,Cluster 631,565
632,Cluster 632,220
633,Cluster 633,10
634,Cluster 634,2
635,Cluster 635,2
636,Cluster 636,143
637,Cluster 637,2
638,Cluster 638,5
639,Cluster 639,4
640,Cluster 640,22
641,Cluster 641,2
642,Cluster 642,12
643,Cluster 643,1
644,Cluster 644,1
645,Cluster 645,6
646,Cluster 646,2
647,Cluster 647,7
648,Cluster 648,588
649,Cluster 649,28
650,Cluster 650,4
651,Cluster 651,1
652,Cluster 652,2
653,Cluster 653,3
654,Cluster 654,590
655,Cluster 655,1
656,Cluster 656,8
657,Cluster 657,1
658,Cluster 658,26
659,Cluster 659,1
660,Cluster 660,3
661,Cluster 661,5
662,Cluster 662,1
663,Cluster 663,35
664,Cluster 664,3
665,Cluster 665,61
666,Cluster 666,100
667,Cluster 667,585
668,Cluster 668,6
669,Cluster 669,383
670,Cluster 670,21
671,Cluster 671,1
672,Cluster 672,1
673,Cluster 673,1
674,Cluster 674,34
675,Cluster 675,3
676,Cluster 676,12
677,Cluster 677,2
678,Cluster 678,38
679,Cluster 679,1
680,Cluster 680,7
681,Cluster 681,17
682,Cluster 682,2
683,Cluster 683,1
684,Cluster 684,4
685,Cluster 685,1
686,Cluster 686,17
687,Cluster 687,15
688,Cluster 688,201
689,Cluster 689,2
690,Cluster 690,11
691,Cluster 691,562
692,Cluster 692,63
693,Cluster 693,4
694,Cluster 694,8
695,Cluster 695,1
696,Cluster 696,1
697,Cluster 697,15
698,Cluster 698,2
699,Cluster 699,591
700,Cluster 700,3
701,Cluster 701,2
702,Cluster 702,3
703,Cluster 703,1
704,Cluster 704,1
705,Cluster 705,3
706,Cluster 706,1
707,Cluster 707,17
708,Cluster 708,38
709,Cluster 709,1
710,Cluster 710,1
711,Cluster 711,1
712,Cluster 712,51
713,Cluster 713,585
714,Cluster 714,3
715,Cluster 715,10
716,Cluster 716,1
717,Cluster 717,1
718,Cluster 718,2
719,Cluster 719,2
720,Cluster 720,1
721,Cluster 721,590
722,Cluster 722,3
723,Cluster 723,8
724,Cluster 724,3
725,Cluster 725,1
726,Cluster 726,13
727,Cluster 727,1
728,Cluster 728,14
729,Cluster 729,13
730,Cluster 730,14
731,Cluster 731,1
732,Cluster 732,3
733,Cluster 733,15
734,Cluster 734,35
735,Cluster 735,4
736,Cluster 736,2
737,Cluster 737,1
738,Cluster 738,1
739,Cluster 739,18
740,Cluster 740,583
741,Cluster 741,4
742,Cluster 742,6
743,Cluster 743,4
744,Cluster 744,8
745,Cluster 745,6
746,Cluster 746,1
747,Cluster 747,1
748,Cluster 748,39
749,Cluster 749,3
750,Cluster 750,3
751,Cluster 751,18
752,Cluster 752,593
753,Cluster 753,1
754,Cluster 754,17
755,Cluster 755,1
756,Cluster 756,1
757,Cluster 757,79
758,Cluster 758,578
759,Cluster 759,11
760,Cluster 760,1
761,Cluster 761,575
762,Cluster 762,48
763,Cluster 763,153
764,Cluster 764,1
765,Cluster 765,1
766,Cluster 766,2
767,Cluster 767,1
768,Cluster 768,3
769,Cluster 769,13
770,Cluster 770,590
771,Cluster 771,2
772,Cluster 772,6
773,Cluster 773,40
774,Cluster 774,585
775,Cluster 775,9
776,Cluster 776,153
777,Cluster 777,10
778,Cluster 778,27
779,Cluster 779,4
780,Cluster 780,1
781,Cluster 781,23
782,Cluster 782,1
783,Cluster 783,580
784,Cluster 784,1
785,Cluster 785,3
786,Cluster 786,30
787,Cluster 787,3
788,Cluster 788,3
789,Cluster 789,4
790,Cluster 790,3
791,Cluster 791,1
792,Cluster 792,11
793,Cluster 793,4
794,Cluster 794,1
795,Cluster 795,1
796,Cluster 796,585
797,Cluster 797,593
798,Cluster 798,1
799,Cluster 799,482
800,Cluster 800,3
801,Cluster 801,1
802,Cluster 802,2
803,Cluster 803,1
804,Cluster 804,2
805,Cluster 805,119
806,Cluster 806,4
807,Cluster 807,6
808,Cluster 808,61
809,Cluster 809,1
810,Cluster 810,1
811,Cluster 811,7
812,Cluster 812,5
813,Cluster 813,586
814,Cluster 814,2
815,Cluster 815,1
816,Cluster 816,588
817,Cluster 817,1
818,Cluster 818,2
819,Cluster 819,21
820,Cluster 820,138
821,Cluster 821,4
822,Cluster 822,1
823,Cluster 823,591
824,Cluster 824,63
825,Cluster 825,10
826,Cluster 826,5
827,Cluster 827,81
828,Cluster 828,1
829,Cluster 829,1
830,Cluster 830,3
831,Cluster 831,23
832,Cluster 832,2
833,Cluster 833,558
834,Cluster 834,1
835,Cluster 835,1
836,Cluster 836,3
837,Cluster 837,5
838,Cluster 838,78
839,Cluster 839,2
840,Cluster 840,3
841,Cluster 841,10
842,Cluster 842,28
843,Cluster 843,8
844,Cluster 844,1
845,Cluster 845,1
846,Cluster 846,54
847,Cluster 847,177
848,Cluster 848,1
849,Cluster 849,566
850,Cluster 850,591
851,Cluster 851,2
852,Cluster 852,3
853,Cluster 853,1
854,Cluster 854,56
855,Cluster 855,1
856,Cluster 856,8
857,Cluster 857,589
858,Cluster 858,2
859,Cluster 859,3
860,Cluster 860,12
861,Cluster 861,9
862,Cluster 862,1
863,Cluster 863,2
864,Cluster 864,1
865,Cluster 865,1
866,Cluster 866,3
867,Cluster 867,3
868,Cluster 868,88
869,Cluster 869,3
870,Cluster 870,82
871,Cluster 871,5
872,Cluster 872,1
873,Cluster 873,2
874,Cluster 874,23
875,Cluster 875,14
876,Cluster 876,22
877,Cluster 877,5
878,Cluster 878,1
879,Cluster 879,2
880,Cluster 880,27
881,Cluster 881,8
882,Cluster 882,3
883,Cluster 883,5
884,Cluster 884,594
885,Cluster 885,29
886,Cluster 886,14
887,Cluster 887,3
888,Cluster 888,237
889,Cluster 889,11
890,Cluster 890,46
891,Cluster 891,1
892,Cluster 892,1
893,Cluster 893,593
894,Cluster 894,3
895,Cluster 895,3
896,Cluster 896,1
897,Cluster 897,36
898,Cluster 898,3
899,Cluster 899,10
900,Cluster 900,583
901,Cluster 901,166
902,Cluster 902,2
903,Cluster 903,1
904,Cluster 904,1
905,Cluster 905,75
906,Cluster 906,1
907,Cluster 907,119
908,Cluster 908,3
909,Cluster 909,1
910,Cluster 910,4
911,Cluster 911,1
912,Cluster 912,1
913,Cluster 913,1
914,Cluster 914,191
915,Cluster 915,1
916,Cluster 916,21
917,Cluster 917,4
918,Cluster 918,16
919,Cluster 919,8
920,Cluster 920,4
921,Cluster 921,589
922,Cluster 922,595
923,Cluster 923,2
924,Cluster 924,575
925,Cluster 925,1
926,Cluster 926,1
927,Cluster 927,9
928,Cluster 928,4
929,Cluster 929,3
930,Cluster 930,1
931,Cluster 931,4
932,Cluster 932,1
933,Cluster 933,11
934,Cluster 934,1
935,Cluster 935,125
936,Cluster 936,2
937,Cluster 937,27
938,Cluster 938,1
939,Cluster 939,2
940,Cluster 940,15
941,Cluster 941,2
942,Cluster 942,562
943,Cluster 943,1
944,Cluster 944,419
945,Cluster 945,3
946,Cluster 946,162
947,Cluster 947,15
948,Cluster 948,2
949,Cluster 949,591
950,Cluster 950,1
951,Cluster 951,594
952,Cluster 952,13
953,Cluster 953,1
954,Cluster 954,9
955,Cluster 955,1
956,Cluster 956,1
957,Cluster 957,8
958,Cluster 958,1
959,Cluster 959,1
960,Cluster 960,41
961,Cluster 961,35
962,Cluster 962,3
963,Cluster 963,12
964,Cluster 964,2
965,Cluster 965,2
966,Cluster 966,1
967,Cluster 967,1
968,Cluster 968,21
969,Cluster 969,1
970,Cluster 970,4
971,Cluster 971,38
972,Cluster 972,2
973,Cluster 973,2
974,Cluster 974,47
975,Cluster 975,3
976,Cluster 976,15
977,Cluster 977,2
978,Cluster 978,1
979,Cluster 979,315
980,Cluster 980,10
981,Cluster 981,1
982,Cluster 982,2
983,Cluster 983,5
984,Cluster 984,7
985,Cluster 985,1
986,Cluster 986,3
987,Cluster 987,579
988,Cluster 988,15
989,Cluster 989,1
990,Cluster 990,2
991,Cluster 991,8
992,Cluster 992,1
993,Cluster 993,6
994,Cluster 994,2
995,Cluster 995,2
996,Cluster 996,112
997,Cluster 997,1
998,Cluster 998,594
999,Cluster 999,4
1000,Cluster 1000,1
1001,Cluster 1001,1
1002,Cluster 1002,592
1003,Cluster 1003,1
1004,Cluster 1004,16
1005,Cluster 1005,592
