,log_odds
Cluster 19-Cluster 6432,1.9034634588080563
Cluster 19-Cluster 6548,1.9034634588080563
Cluster 19-Cluster 6636,1.9034634588080563
Cluster 19-Cluster 6800,1.9034634588080563
Cluster 19-Cluster 7218,1.9034634588080563
Cluster 21-Cluster 196,-0.8275343712683638
Cluster 21-Cluster 263,-0.31124425303029435
Cluster 21-Cluster 416,-0.8275343712683638
Cluster 21-Cluster 760,-0.31124425303029435
Cluster 21-Cluster 1340,-0.8275343712683638
Cluster 21-Cluster 1411,-0.31124425303029435
Cluster 21-Cluster 1511,-0.31124425303029435
Cluster 21-Cluster 1662,-0.8275343712683638
Cluster 21-Cluster 2276,-0.31124425303029435
Cluster 21-Cluster 2586,-0.8275343712683638
Cluster 21-Cluster 2847,-0.8275343712683638
Cluster 21-Cluster 2937,-0.31124425303029435
Cluster 21-Cluster 3026,-0.8275343712683638
Cluster 21-Cluster 3061,-0.8275343712683638
Cluster 21-Cluster 3614,-0.31124425303029435
Cluster 21-Cluster 3900,-0.31124425303029435
Cluster 21-Cluster 4015,-0.31124425303029435
Cluster 21-Cluster 4376,0.7928028316237721
Cluster 21-Cluster 5324,-0.31124425303029435
Cluster 21-Cluster 5733,-0.31124425303029435
Cluster 21-Cluster 5862,-0.8275343712683638
Cluster 21-Cluster 6131,-0.8275343712683638
Cluster 21-Cluster 6382,-0.31124425303029435
Cluster 21-Cluster 6400,-0.31124425303029435
Cluster 21-Cluster 6452,-0.8275343712683638
Cluster 21-Cluster 7490,-0.31124425303029435
Cluster 21-Cluster 7584,-0.31124425303029435
Cluster 21-Cluster 7804,-0.31124425303029435
Cluster 21-Cluster 7998,-0.31124425303029435
Cluster 22-Cluster 457,-0.31124425303029435
Cluster 22-Cluster 890,-0.31124425303029435
Cluster 22-Cluster 2833,-0.31124425303029435
Cluster 22-Cluster 4433,-0.31124425303029435
Cluster 22-Cluster 5474,1.9034634588080563
Cluster 22-Cluster 6461,-0.31124425303029435
Cluster 23-Cluster 433,-3.608953626298352
Cluster 23-Cluster 484,-3.680230116067384
Cluster 23-Cluster 576,-3.680230116067384
Cluster 23-Cluster 883,-3.680230116067384
Cluster 23-Cluster 915,-3.680230116067384
Cluster 23-Cluster 1519,-3.680230116067384
Cluster 23-Cluster 1529,-3.680230116067384
Cluster 23-Cluster 2076,-3.680230116067384
Cluster 23-Cluster 2451,-3.4557383441432403
Cluster 23-Cluster 2560,-3.644990052265139
Cluster 23-Cluster 2561,-3.2846283423562364
Cluster 23-Cluster 2746,-3.644990052265139
Cluster 23-Cluster 2996,-3.680230116067384
Cluster 23-Cluster 3062,-3.644990052265139
Cluster 23-Cluster 4052,-3.680230116067384
Cluster 23-Cluster 4124,-3.644990052265139
Cluster 23-Cluster 4431,-3.644990052265139
Cluster 23-Cluster 4542,-3.680230116067384
Cluster 23-Cluster 4688,-3.680230116067384
